"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000209MOR","41.522576000000001|Fertig, Walter|2017-04-05","-87.456832000000006|Fertig, Walter|2017-04-05","WGS84|Fertig, Walter|2017-04-05","Fertig|Fertig, Walter|2017-04-05","","","100|Fertig, Walter|2017-04-05"
"0000211MOR","41.734749999999998|Fertig, Walter|2017-04-05","-86.855119999999999|Fertig, Walter|2017-04-05","WGS84|Fertig, Walter|2017-04-05","Fertig|Fertig, Walter|2017-04-05","","","300|Fertig, Walter|2017-04-05"
"0000213MOR","41.088788999999998|Fertig, Walter|2017-04-05","-87.426158000000001|Fertig, Walter|2017-04-05","WGS84|Fertig, Walter|2017-04-05","Fertig|Fertig, Walter|2017-04-05","","","200|Fertig, Walter|2017-04-05"
"0000215MOR","41.642699999999998|Fertig, Walter|2017-04-05","-87.087748000000005|Fertig, Walter|2017-04-05","WGS84|Fertig, Walter|2017-04-05","Fertig|Fertig, Walter|2017-04-05","","GeoLocate|Fertig, Walter|2017-04-05","800|Fertig, Walter|2017-04-05"
"0000217MOR","41.236018999999999|Fertig, Walter|2017-04-05","-86.66816|Fertig, Walter|2017-04-05","WGS84|Fertig, Walter|2017-04-05","Fertig|Fertig, Walter|2017-04-05","","","500|Fertig, Walter|2017-04-05"
"0000222MOR","41.818617000000003|Bannon, Lee|2020-01-02","-88.057997999999998|Bannon, Lee|2020-01-02","WGS84|Bannon, Lee|2020-01-02","Louise & Lee|Bannon, Lee|2020-01-02","based on collectors description|Bannon, Lee|2020-01-02","GeoLocate|Bannon, Lee|2020-01-02","205|Bannon, Lee|2020-01-02"
"0000258MOR","41.825369000000002|Bannon, Lee|2020-01-09","-88.220411999999996|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","496|Bannon, Lee|2020-01-09"
"0000270MOR","41.818085000000004|Bannon, Lee|2020-01-02","-88.059231999999994|Bannon, Lee|2020-01-02","WGS84|Bannon, Lee|2020-01-02","Louise & Lee|Bannon, Lee|2020-01-02","based on collectors description|Bannon, Lee|2020-01-02","GeoLocate|Bannon, Lee|2020-01-02","195|Bannon, Lee|2020-01-02"
"0000278MOR","41.814864999999998|Bannon, Lee|2020-01-09","-88.037699000000003|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","212|Bannon, Lee|2020-01-09"
"0000317MOR","41.969304000000001|Bannon, Lee|2020-01-02","-88.234211000000002|Bannon, Lee|2020-01-02","WGS84|Bannon, Lee|2020-01-02","Louise & Lee|Bannon, Lee|2020-01-02","based on collectors description|Bannon, Lee|2020-01-02","GeoLocate|Bannon, Lee|2020-01-02","211|Bannon, Lee|2020-01-02"
"0000342MOR","41.707858000000002|Bannon, Lee|2020-01-09","-88.143248|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","216|Bannon, Lee|2020-01-09"
"0000348MOR","41.790664999999997|Bannon, Lee|2020-01-02","-88.024045999999998|Bannon, Lee|2020-01-02","WGS84|Bannon, Lee|2020-01-02","Louise & Lee|Bannon, Lee|2020-01-02","based on collectors description|Bannon, Lee|2020-01-02","GeoLocate|Bannon, Lee|2020-01-02","197|Bannon, Lee|2020-01-02"
"0000350MOR","41.787835999999999|Bannon, Lee|2020-01-30","-88.223088000000004|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","205|Bannon, Lee|2020-01-30"
"0000387MOR","41.816943999999999|Bannon, Lee|2020-01-09","-88.053534999999997|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","208|Bannon, Lee|2020-01-09"
"0000388MOR","41.812738000000003|Bannon, Lee|2020-01-09","-88.047697999999997|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","205|Bannon, Lee|2020-01-09"
"0000399MOR","41.69614|Bannon, Lee|2020-01-09","-87.970590000000001|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","103|Bannon, Lee|2020-01-09"
"0000471MOR","41.815272999999998|Bannon, Lee|2020-01-09","-88.085087999999999|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","151|Bannon, Lee|2020-01-09"
"0000472MOR","41.815216999999997|Bannon, Lee|2020-01-30","-88.079819999999998|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","202|Bannon, Lee|2020-01-30"
"0000513MOR","41.814833|Bannon, Lee|2020-01-30","-88.080786000000003|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","195|Bannon, Lee|2020-01-30"
"0000521MOR","41.815334|Bannon, Lee|2020-01-09","-88.064554000000001|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","194|Bannon, Lee|2020-01-09"
"0000553MOR","41.813298000000003|Bannon, Lee|2020-01-09","-88.090871000000007|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","200|Bannon, Lee|2020-01-09"
"0000648MOR","41.818863|Bannon, Lee|2020-01-30","-88.050298999999995|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","204|Bannon, Lee|2020-01-30"
"0000669MOR","41.887233999999999|Bannon, Lee|2020-01-09","-88.217256000000006|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","207|Bannon, Lee|2020-01-09"
"0000680MOR","41.735475000000001|Bannon, Lee|2020-01-09","-88.076836999999998|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","207|Bannon, Lee|2020-01-09"
"0000688MOR","41.712431000000002|Bannon, Lee|2020-01-09","-87.927156999999994|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","1009|Bannon, Lee|2020-01-09"
"0000690MOR","41.712431000000002|Bannon, Lee|2020-01-30","-87.927156999999994|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","215|Bannon, Lee|2020-01-30"
"0000704MOR","41.816400999999999|Bannon, Lee|2020-01-30","-88.037913000000003|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","200|Bannon, Lee|2020-01-30"
"0000707MOR","41.813457999999997|Bannon, Lee|2020-01-09","-88.079583999999997|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","205|Bannon, Lee|2020-01-09"
"0000708MOR","41.819423|Bannon, Lee|2020-01-09","-88.084326000000004|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","213|Bannon, Lee|2020-01-09"
"0000711MOR","41.817317000000003|Bannon, Lee|2020-01-30","-88.065411999999995|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","198|Bannon, Lee|2020-01-30"
"0000743MOR","41.819215|Bannon, Lee|2020-01-09","-88.070871999999994|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","157|Bannon, Lee|2020-01-09"
"0000748MOR","41.819983000000001|Bannon, Lee|2020-01-30","-88.046411000000006|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","198|Bannon, Lee|2020-01-30"
"0000782MOR","41.816201|Bannon, Lee|2020-01-09","-88.085875999999999|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","149|Bannon, Lee|2020-01-09"
"0000783MOR","41.813330000000001|Bannon, Lee|2020-01-30","-88.091110999999998|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","208|Bannon, Lee|2020-01-30"
"0000813MOR","41.812179|Bannon, Lee|2020-01-30","-88.069187999999997|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","96|Bannon, Lee|2020-01-30"
"0000835MOR","41.819839000000002|Bannon, Lee|2020-01-09","-88.083596999999997|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","149|Bannon, Lee|2020-01-09"
"0000855MOR","41.820749999999997|Bannon, Lee|2020-01-30","-88.083532000000005|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","194|Bannon, Lee|2020-01-30"
"0000857MOR","41.821357999999996|Bannon, Lee|2020-01-09","-88.080211000000006|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","151|Bannon, Lee|2020-01-09"
"0000866MOR","41.815264999999997|Bannon, Lee|2020-01-30","-88.083168000000001|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","101|Bannon, Lee|2020-01-30"
"0000867MOR","41.817712|Bannon, Lee|2020-01-30","-88.084412|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","207|Bannon, Lee|2020-01-30"
"0000868MOR","41.814481999999998|Bannon, Lee|2020-01-09","-88.041905|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","193|Bannon, Lee|2020-01-09"
"0000872MOR","41.754714|Bannon, Lee|2020-01-09","-88.071313000000004|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","197|Bannon, Lee|2020-01-09"
"0000893MOR","41.812499000000003|Bannon, Lee|2020-01-09","-88.072824999999995|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","125|Bannon, Lee|2020-01-09"
"0000898MOR","41.814577999999997|Bannon, Lee|2020-01-09","-88.079841999999999|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","208|Bannon, Lee|2020-01-09"
"0000916MOR","41.816625000000002|Bannon, Lee|2020-01-30","-88.076559000000003|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","207|Bannon, Lee|2020-01-30"
"0000928MOR","41.824022999999997|Bannon, Lee|2020-01-09","-88.104530999999994|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","210|Bannon, Lee|2020-01-09"
"0000929MOR","41.812466999999998|Bannon, Lee|2020-01-09","-88.072353000000007|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","150|Bannon, Lee|2020-01-09"
"0000932MOR","41.943181000000003|Bannon, Lee|2020-01-30","-87.976106999999999|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","201|Bannon, Lee|2020-01-30"
"0000933MOR","41.966656|Bannon, Lee|2020-01-09","-88.250888000000003|Bannon, Lee|2020-01-09","WGS84|Bannon, Lee|2020-01-09","Louise & Lee|Bannon, Lee|2020-01-09","based on collectors description|Bannon, Lee|2020-01-09","GeoLocate|Bannon, Lee|2020-01-09","215|Bannon, Lee|2020-01-09"
"0000963MOR","41.744545000000002|Bannon, Lee|2019-08-15","-87.985748999999998|Bannon, Lee|2019-08-15","WGS84|Bannon, Lee|2019-08-15","Louise & Lee|Bannon, Lee|2019-08-15","based on collectors description|Bannon, Lee|2019-08-15","GeoLocate|Bannon, Lee|2019-08-15","59|Bannon, Lee|2019-08-15"
"0000966MOR","41.812690000000003|Bannon, Lee|2020-01-30","-88.070143000000002|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","209|Bannon, Lee|2020-01-30"
"0000998MOR","41.891089999999998|Bannon, Lee|2019-09-26","-88.231340000000003|Bannon, Lee|2019-09-26","WGS84|Bannon, Lee|2019-09-26","Louise & Lee|Bannon, Lee|2019-09-26","based on collectors description|Bannon, Lee|2019-09-26","GeoLocate|Bannon, Lee|2019-09-26","198|Bannon, Lee|2019-09-26"
"0001000MOR","41.816037999999999|Bannon, Lee|2020-01-30","-88.037345000000002|Bannon, Lee|2020-01-30","WGS84|Bannon, Lee|2020-01-30","Louise & Lee|Bannon, Lee|2020-01-30","based on collectors description|Bannon, Lee|2020-01-30","GeoLocate|Bannon, Lee|2020-01-30","211|Bannon, Lee|2020-01-30"
"0001014MOR","41.812801999999998|Bannon, Lee|2019-11-07","-88.072911000000005|Bannon, Lee|2019-11-07","WGS84|Bannon, Lee|2019-11-07","Louise & Lee|Bannon, Lee|2019-11-07","based on collectors description|Bannon, Lee|2019-11-07","GeoLocate|Bannon, Lee|2019-11-07","30|Bannon, Lee|2019-11-07"
"0001015MOR","41.812786000000003|Bannon, Lee|2019-10-31","-88.072691000000006|Bannon, Lee|2019-10-31","WGS84|Bannon, Lee|2019-10-31","Louise & Lee|Bannon, Lee|2019-10-31","based on collectors description|Bannon, Lee|2019-10-31","GeoLocate|Bannon, Lee|2019-10-31","50|Bannon, Lee|2019-10-31"
"0001025MOR","41.818085000000004|Bannon, Lee|2019-10-31","-88.059231999999994|Bannon, Lee|2019-10-31","WGS84|Bannon, Lee|2019-10-31","Louise & Lee|Bannon, Lee|2019-10-31","based on collectors description|Bannon, Lee|2019-10-31","GeoLocate|Bannon, Lee|2019-10-31","210|Bannon, Lee|2019-10-31"
"0001035MOR","41.816465000000001|Bannon, Lee|2019-11-07","-88.046195999999995|Bannon, Lee|2019-11-07","WGS84|Bannon, Lee|2019-11-07","Louise & Lee|Bannon, Lee|2019-11-07","based on collectors description|Bannon, Lee|2019-11-07","GeoLocate|Bannon, Lee|2019-11-07","201|Bannon, Lee|2019-11-07"
"0001036MOR","41.812083000000001|Bannon, Lee|2019-11-14","-88.072664000000003|Bannon, Lee|2019-11-14","WGS84|Bannon, Lee|2019-11-14","Louise & Lee|Bannon, Lee|2019-11-14","based on collectors description|Bannon, Lee|2019-11-14","GeoLocate|Bannon, Lee|2019-11-14","98|Bannon, Lee|2019-11-14"
"0001037MOR","41.807991000000001|Bannon, Lee|2019-10-31","-88.022028000000006|Bannon, Lee|2019-10-31","WGS84|Bannon, Lee|2019-10-31","Louise & Lee|Bannon, Lee|2019-10-31","based on collectors description|Bannon, Lee|2019-10-31","GeoLocate|Bannon, Lee|2019-10-31","503|Bannon, Lee|2019-10-31"
"0001070MOR","41.818085000000004|Bannon, Lee|2019-11-07","-88.059231999999994|Bannon, Lee|2019-11-07","WGS84|Bannon, Lee|2019-11-07","Louise & Lee|Bannon, Lee|2019-11-07","based on collectors description|Bannon, Lee|2019-11-07","GeoLocate|Bannon, Lee|2019-11-07","201|Bannon, Lee|2019-11-07"
"0001079MOR","41.816792999999997|Bannon, Lee|2019-10-31","-88.064789000000005|Bannon, Lee|2019-10-31","WGS84|Bannon, Lee|2019-10-31","Louise & Lee|Bannon, Lee|2019-10-31","based on collectors description|Bannon, Lee|2019-10-31","GeoLocate|Bannon, Lee|2019-10-31","151|Bannon, Lee|2019-10-31"
"0001090MOR","41.813042000000003|Bannon, Lee|2019-11-07","-88.053748999999996|Bannon, Lee|2019-11-07","WGS84|Bannon, Lee|2019-11-07","Louise & Lee|Bannon, Lee|2019-11-07","based on collectors description|Bannon, Lee|2019-11-07","GeoLocate|Bannon, Lee|2019-11-07","299|Bannon, Lee|2019-11-07"
"0001107MOR","41.892170999999998|Bannon, Lee|2019-10-31","-87.964629000000002|Bannon, Lee|2019-10-31","WGS84|Bannon, Lee|2019-10-31","Louise & Lee|Bannon, Lee|2019-10-31","based on collectors description|Bannon, Lee|2019-10-31","GeoLocate|Bannon, Lee|2019-10-31","197|Bannon, Lee|2019-10-31"
"0001118MOR","41.818756999999998|Bannon, Lee|2019-10-31","-88.053803000000002|Bannon, Lee|2019-10-31","WGS84|Bannon, Lee|2019-10-31","Louise & Lee|Bannon, Lee|2019-10-31","based on collectors description|Bannon, Lee|2019-10-31","GeoLocate|Bannon, Lee|2019-10-31","203|Bannon, Lee|2019-10-31"
"0001119MOR","41.815558000000003|Bannon, Lee|2019-11-14","-88.061892999999998|Bannon, Lee|2019-11-14","WGS84|Bannon, Lee|2019-11-14","Louise & Lee|Bannon, Lee|2019-11-14","based on collectors description|Bannon, Lee|2019-11-14","GeoLocate|Bannon, Lee|2019-11-14","203|Bannon, Lee|2019-11-14"
"0001175MOR","41.774303000000003|Bannon, Lee|2019-06-20","-88.143428999999998|Bannon, Lee|2019-06-20","WGS84|Bannon, Lee|2019-06-20","Louise & Lee|Bannon, Lee|2019-06-20","based on Collectors description|Bannon, Lee|2019-06-20","GeoLocate|Bannon, Lee|2019-06-20","219|Bannon, Lee|2019-06-20"
"0001209MOR","41.702238999999999|Bannon, Lee|2019-06-20","-87.979551000000001|Bannon, Lee|2019-06-20","WGS84|Bannon, Lee|2019-06-20","Louise & Lee|Bannon, Lee|2019-06-20","based on Collectors description|Bannon, Lee|2019-06-20","GeoLocate|Bannon, Lee|2019-06-20","198|Bannon, Lee|2019-06-20"
"0001215MOR","41.814689999999999|Bannon, Lee|2019-06-20","-88.088425000000001|Bannon, Lee|2019-06-20","WGS84|Bannon, Lee|2019-06-20","Louise & Lee|Bannon, Lee|2019-06-20","based on Collectors description|Bannon, Lee|2019-06-20","GeoLocate|Bannon, Lee|2019-06-20","99|Bannon, Lee|2019-06-20"
"0001258MOR","41.816437999999998|Bannon, Lee|2019-06-27","-88.064166999999998|Bannon, Lee|2019-06-27","WGS84|Bannon, Lee|2019-06-27","Louise & Lee|Bannon, Lee|2019-06-27","based on collectors description|Bannon, Lee|2019-06-27","GeoLocate|Bannon, Lee|2019-06-27","200|Bannon, Lee|2019-06-27"
"0001279MOR","41.816144999999999|Bannon, Lee|2019-06-20","-88.083477999999999|Bannon, Lee|2019-06-20","WGS84|Bannon, Lee|2019-06-20","Louise & Lee|Bannon, Lee|2019-06-20","based on Collectors description|Bannon, Lee|2019-06-20","GeoLocate|Bannon, Lee|2019-06-20","98|Bannon, Lee|2019-06-20"
"0001283MOR","41.817317000000003|Bannon, Lee|2019-06-20","-88.065754999999996|Bannon, Lee|2019-06-20","WGS84|Bannon, Lee|2019-06-20","Louise & Lee|Bannon, Lee|2019-06-20","based on Collectors description|Bannon, Lee|2019-06-20","GeoLocate|Bannon, Lee|2019-06-20","1996|Bannon, Lee|2019-06-20"
"0001284MOR","41.817380999999997|Bannon, Lee|2019-06-20","-88.046786999999995|Bannon, Lee|2019-06-20","WGS84|Bannon, Lee|2019-06-20","Louise & Lee|Bannon, Lee|2019-06-20","based on Collectors description|Bannon, Lee|2019-06-20","GeoLocate|Bannon, Lee|2019-06-20","194|Bannon, Lee|2019-06-20"
"0001286MOR","41.816716999999997|Bannon, Lee|2019-06-20","-88.045423999999997|Bannon, Lee|2019-06-20","WGS84|Bannon, Lee|2019-06-20","Louise & Lee|Bannon, Lee|2019-06-20","based on Collectors description|Bannon, Lee|2019-06-20","GeoLocate|Bannon, Lee|2019-06-20","148|Bannon, Lee|2019-06-20"
"0001344MOR","41.817540999999999|Bannon, Lee|2019-10-31","-88.063029999999998|Bannon, Lee|2019-10-31","WGS84|Bannon, Lee|2019-10-31","Louise & Lee|Bannon, Lee|2019-10-31","based on collectors description|Bannon, Lee|2019-10-31","GeoLocate|Bannon, Lee|2019-10-31","195|Bannon, Lee|2019-10-31"
