"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000012MOR","41.812626000000002|Bannon, Lee|2019-07-11","-88.091772000000006|Bannon, Lee|2019-07-11","WGS84|Bannon, Lee|2019-07-11","Louise & Lee|Bannon, Lee|2019-07-11","based on collectors description|Bannon, Lee|2019-07-11","GeoLocate|Bannon, Lee|2019-07-11","153|Bannon, Lee|2019-07-11"
"0000013MOR","41.814630999999999|Bannon, Lee|2019-07-11","-88.091246999999996|Bannon, Lee|2019-07-11","WGS84|Bannon, Lee|2019-07-11","Louise & Lee|Bannon, Lee|2019-07-11","based on collectors description|Bannon, Lee|2019-07-11","GeoLocate|Bannon, Lee|2019-07-11","195|Bannon, Lee|2019-07-11"
"0000020MOR","41.791001000000001|Bannon, Lee|2019-07-11","-88.176631|Bannon, Lee|2019-07-11","WGS84|Bannon, Lee|2019-07-11","Louise & Lee|Bannon, Lee|2019-07-11","based on collectors description|Bannon, Lee|2019-07-11","GeoLocate|Bannon, Lee|2019-07-11","603|Bannon, Lee|2019-07-11"
"0000038MOR","41.819409|Bannon, Lee|2019-07-11","-88.041167000000002|Bannon, Lee|2019-07-11","WGS84|Bannon, Lee|2019-07-11","Louise & Lee|Bannon, Lee|2019-07-11","based on collectors description|Bannon, Lee|2019-07-11","GeoLocate|Bannon, Lee|2019-07-11","1000|Bannon, Lee|2019-07-11"
"0000039MOR","41.816049|Bannon, Lee|2019-07-11","-88.044415000000001|Bannon, Lee|2019-07-11","WGS84|Bannon, Lee|2019-07-11","Louise & Lee|Bannon, Lee|2019-07-11","based on collectors description|Bannon, Lee|2019-07-11","GeoLocate|Bannon, Lee|2019-07-11","497|Bannon, Lee|2019-07-11"
"0000048MOR","41.883850000000002|Bannon, Lee|2019-07-11","-88.037228999999996|Bannon, Lee|2019-07-11","WGS84|Bannon, Lee|2019-07-11","Louise & Lee|Bannon, Lee|2019-07-11","based on collectors description|Bannon, Lee|2019-07-11","GeoLocate|Bannon, Lee|2019-07-11","198|Bannon, Lee|2019-07-11"
"0000104MOR","41.698936000000003|Bannon, Lee|2019-08-15","-87.959307999999993|Bannon, Lee|2019-08-15","WGS84|Bannon, Lee|2019-08-15","Louise & Lee|Bannon, Lee|2019-08-15","based on collectors description|Bannon, Lee|2019-08-15","GeoLocate|Bannon, Lee|2019-08-15","191|Bannon, Lee|2019-08-15"
"0000109MOR","41.816997999999998|Bannon, Lee|2019-07-11","-88.045069999999996|Bannon, Lee|2019-07-11","WGS84|Bannon, Lee|2019-07-11","Louise & Lee|Bannon, Lee|2019-07-11","based on collectors description|Bannon, Lee|2019-07-11","GeoLocate|Bannon, Lee|2019-07-11","505|Bannon, Lee|2019-07-11"
"0000110MOR","41.821517999999998|Bannon, Lee|2019-07-25","-88.076391000000001|Bannon, Lee|2019-07-25","WGS84|Bannon, Lee|2019-07-25","Louise & Lee|Bannon, Lee|2019-07-25","based on collectors description|Bannon, Lee|2019-07-25","GeoLocate|Bannon, Lee|2019-07-25","80|Bannon, Lee|2019-07-25"
"0000201MOR","41.153508000000002|Fertig, Walter|2017-04-05","-86.944237999999999|Fertig, Walter|2017-04-05","WGS84|Fertig, Walter|2017-04-05","Fertig|Fertig, Walter|2017-04-05","","","400|Fertig, Walter|2017-04-05"
