"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","MatchGUID"
"0023918MOR","41.8269","-87.934709","WGS84","Louise & Lee","based on collectors description","GeoLocate","192","7fce0950-6b49-4693-9025-81b8980fcdfc"
"0023954MOR","41.863046","-88.170652","WGS84","Louise & Lee","based on collectors description","GeoLocate","101","4f3dbb58-a5af-4608-b9b2-9fa7e75b2d5b"
"0024003MOR","41.821427","-88.07702","WGS84","Louise & Lee","based on collectors description","GeoLocate","52","b056bcfe-ed25-43f0-ab53-3d31257f508b"
"0024012MOR","41.81478","-88.080999","WGS84","Louise & Lee","based on collectors description","GeoLocate","102","920aacf4-8df5-4a3d-85d2-f0fae0ecc436"
"0024013MOR","41.814869","-88.081001","WGS84","Louise & Lee","based on collectors description","GeoLocate","65","c64c4e97-749f-4d1b-b995-3c1fe2d688a5"
"0024075MOR","41.78765","-88.181225","WGS84","Louise & Lee","based on collectors description","GeoLocate","100","4192f6ca-d136-4636-b6c2-756d425912ae"
"0024091MOR","41.813539","-88.070004","WGS84","Louise & Lee","based on collectors description","GeoLocate","105","4ba5e691-78d4-4586-b07f-6222a0959b91"
"0024103MOR","41.825285","-87.934058","WGS84","Louise & Lee","based on collectors description","GeoLocate","192","fdf0310e-0e62-43e3-84ce-57f6c309bb00"
"0024139MOR","41.667104","-87.007181","","","","","400","6e8e4cef-74c3-4cb9-9809-23073f1038fc"
"0024140MOR","41.651049","-87.029499","","","","","500","7311d33e-f59f-4995-af38-0435bb405d95"
"0024141MOR","41.7958","-88.185472","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","d7c0b1ed-8573-49f5-871e-7a95a115e85a"
"0024182MOR","41.712431","-87.927157","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","f86c951c-002b-4d8c-88c8-357b7e996320"
"0024200MOR","41.888933","-87.963561","WGS84","Louise & Lee","based on collectors description","GeoLocate","146","2c5c26c7-f4d8-4dec-a0c5-850569e2161e"
"0024217MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","b72adf98-0549-44b0-9c3f-bb6bc1474aa2"
"0024218MOR","41.818959","-88.084648","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","080800e8-d9e1-403d-b105-845624cae6ca"
"0024219MOR","41.798849","-88.183448","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","9d6321b9-e414-4b2e-86ae-2a95057b5217"
"0024223MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","f19062a5-cf56-47b6-968e-6e02cbb6f665"
"0024225MOR","41.815959","-88.084679","WGS84","Louise & Lee","based on collectors description","GeoLocate","150","40b0fe1f-7708-4c81-9eaf-06233f6424f8"
"0024230MOR","41.814855","-88.047988","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","76c19fa7-d8ec-4b96-8281-08fc46a87d09"
"0024237MOR","41.815761","-88.043686","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","8efd48b8-1943-40e1-91d2-650757acea5a"
"0024246MOR","41.821091","-88.054254","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","e44ad9f3-a604-440f-8cb6-ad43f763346d"
"0024247MOR","41.817317","-88.065412","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","ccb78a29-1fa5-4cc2-ad84-6f1103b82caa"
"0024248MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","192","c4b6d8c7-d8c7-405c-8eb5-b8143f0a576c"
"0024249MOR","41.814638","-88.048192","WGS84","Louise & Lee","based on collectors description","GeoLocate","135","5bceb9b1-b215-4560-863c-5794a0155b0d"
"0024250MOR","41.81457","-88.048289","WGS84","Louise & Lee","based on collectors description","GeoLocate","108","cc77181b-c63f-44ca-99e3-5004497cf486"
"0024252MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","59d909ce-83ad-4a92-8d74-32319c83beae"
"0024257MOR","41.780336","-88.099454","WGS84","Louise & Lee","based on collectors description","GeoLocate","62","552f2dba-b764-4829-ba00-53c6e2133c1a"
"0024258MOR","41.823966","-88.113689","WGS84","Louise & Lee","based on collectors description","GeoLocate","406","ec5b779d-50c6-4c3a-ae39-7640b5231db6"
"0024264MOR","41.17252","-86.65913","WGS84","Fertig","","","50","f4665f53-48d2-4ede-ba2c-b8515d8c1e74"
"0024287MOR","41.781444","-88.097673","WGS84","Louise & Lee","based on collectors description","GeoLocate","96","780955fe-bd90-4e83-80eb-a436a3763972"
"0024299MOR","41.818949","-88.054383","WGS84","Louise & Lee","based on collectors description","GeoLocate","214","a1cc3f80-2f7d-48b4-b264-b63aae62fa25"
"0024347MOR","41.82115","-88.057644","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","fe828c37-c969-484b-80f7-2f5eef2d136b"
"0024348MOR","41.817957","-88.06215","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","6b482d04-72c5-4e85-ac23-1fc47a42c281"
"0024349MOR","41.777461","-88.165598","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","17ba895f-bf24-4d1b-a8b1-f12f3d679c36"
"0024350MOR","41.814842","-88.046593","WGS84","Louise & Lee","based on collectors description","GeoLocate","115","1ef6d593-0a04-4fd5-8b32-90c5ed192d84"
"0024409MOR","40.777537","-87.162413","WGS84","Fertig","","","100","e9342fa5-7555-448d-8bab-0e0000e65263"
"0024416MOR","41.814986","-88.05052","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","5d9aa10c-c171-4c96-8794-8435b117ac36"
"0024418MOR","41.653141","-87.068889","WGS84","Fertig","","","150","f4e4e7f8-b4d4-47f6-9d7c-983cb8b4b49e"
"0024445MOR","41.815306","-88.037817","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","f279df55-4c67-4f5c-8c57-0430631ab4e1"
"0024447MOR","41.815945","-88.037259","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","04df001a-5c71-433b-9f7a-fb9371f11bc0"
"0024452MOR","41.815462","-88.064274","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","3827853c-0647-4099-b5e1-115edb67fbdc"
"0024453MOR","41.815945","-88.037259","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","01e216ce-6db7-4f5b-8227-77db4079e539"
"0024464MOR","41.814602","-88.045285","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","a5ca2158-9ac1-446d-b716-b1227b1d024f"
"0024465MOR","41.812779","-88.042388","WGS84","Louise & Lee","based on collectors description","GeoLocate","153","076e2557-a87b-46fc-adab-7586a824a4a6"
"0024466MOR","41.812823","-88.049468","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","b701e4cc-6316-497e-b232-42c76c10c0ac"
"0024509MOR","41.81833","-88.061804","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","1d83aea6-20a7-42f6-9239-b2b0ccab452a"
"0024514MOR","41.818341","-88.059575","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","1c399ead-7506-44f1-9e7e-0f425793f89d"
"0024515MOR","41.814738","-88.048025","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","7c676ac4-46e9-4db8-934e-0f15e459a878"
"0024516MOR","41.813042","-88.054393","WGS84","Louise & Lee","based on collectors description","GeoLocate","214","1cc388ea-8b19-420d-8365-368f3ca28fcf"
"0024571MOR","41.81425","-88.087625","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","6a754770-2fea-4f9a-ac80-3fb0ead24af9"
"0024573MOR","41.815367","-88.084898","WGS84","Louise & Lee","based on collectors description","GeoLocate","147","c0e02a44-717d-4dc8-a057-1e6ed5fad9e3"
"0024619MOR","41.707619","-87.961771","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","c63a13ff-6c35-4545-8b1c-5640fd150e79"
"0024721MOR","41.814578","-88.041432","WGS84","Louise & Lee","based on collectors description","GeoLocate","154","a07e6964-18aa-47b7-8d0a-53b558ead57e"
"0024722MOR","41.814674","-88.037677","WGS84","Louise & Lee","based on collectors description","GeoLocate","191","a60e022e-358e-4465-9315-ba4f2a9a0976"
"0024800MOR","41.814961","-88.037999","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","cf753587-1571-464f-b9a3-10f74feb9af5"
"0024919MOR","41.825321","-88.174836","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","386c8d78-87a6-4ae1-9513-33e1c4e6f6b3"
"0024921MOR","41.825321","-88.174836","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","1b736230-4f86-4baf-932b-ab46ee70a4f2"
"0024922MOR","41.825321","-88.174836","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","324c0a90-81dc-457b-908e-45f0af720080"
"0024993MOR","41.895352","-88.043002","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","f0650994-dd6a-48ee-812d-07f2276dce85"
"0025048MOR","41.816055","-88.084143","WGS84","Louise & Lee","based on collectors description","GeoLocate","101","1f4055d6-7e04-4bf2-8ad6-fdccc6aeae4a"
"0025077MOR","41.791411","-88.179289","WGS84","Louise & Lee","based on collectors description","GeoLocate","212","0285fceb-e30f-4af6-ab27-3fb072b1dd14"
"0025169MOR","41.812776","-88.047216","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","1e7d51dc-cdd3-46a7-9d15-fcee45d8746b"
"0025173MOR","41.802113","-88.181924","WGS84","Louise & Lee","based on collectors description","GeoLocate","212","7f3a792b-63ac-411a-a889-452b2a91dc01"
"0025182MOR","41.825033","-88.174703","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","04d4c432-d890-4514-9a91-1dcf7ea8b865"
"0025194MOR","41.925304","-88.240854","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","ca7ecbc9-558b-4c85-b8cb-ee0111416ee2"
"0025248MOR","41.81852","-88.042152","WGS84","Louise & Lee","based on collectors description","GeoLocate","147","37f9303b-4ed1-4693-93e3-8ed64e29baf7"
"0025251MOR","41.817385","-88.039405","WGS84","Louise & Lee","based on collectors description","GeoLocate","146","8f2b495d-2b01-4e6b-b7f2-3e4ebab6def8"
"0025253MOR","41.820151","-88.082814","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","80a5047d-8af1-4cc3-afc9-9ae9ab9d93b0"
"0025444MOR","41.816625","-88.079842","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","1e0cf1b4-da23-4241-9f73-80b2d3ebd655"
"0025463MOR","41.758724","-88.098368","WGS84","Louise & Lee","based on collectors description","GeoLocate","194","c59faebb-03e7-4202-8f45-c8cdab36b636"
"0025468MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","7d35e429-4dc7-4592-b7b2-01f16423ba63"
"0025469MOR","41.818736","-88.052977","WGS84","Louise & Lee","based on collectors description","GeoLocate","198","3c3bed77-b9c7-43ef-842c-17848b986e46"
"0025484MOR","41.690188","-88.002906","WGS84","Louise & Lee","based on collectors description","GeoLocate","154","7be7d053-c9c7-472b-a3a8-9aec97ea95b7"
"0025515MOR","41.815664","-88.084163","WGS84","Louise & Lee","based on collectors description","GeoLocate","154","d03a90a0-bdac-47f2-892a-08efe5a2d57d"
"0025516MOR","41.815312","-88.080558","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","def56ea5-b251-4be2-94b0-21ca3b582646"
"0025519MOR","41.815312","-88.080558","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","2c9cb1b7-2339-4552-9c04-a421fada95b5"
"0025520MOR","41.815009","-88.055863","WGS84","Louise & Lee","based on collectors description","GeoLocate","156","e5243fc4-ada7-4450-9ebc-e99097cc9ce9"
"0025526MOR","41.804274","-88.073699","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","a8cd77c7-fec6-414c-8ddc-7a51ea564e51"
"0025576MOR","41.812107","-88.077514","WGS84","Louise & Lee","based on collectors description","GeoLocate","213","f23c655d-4435-4a93-9f50-a232d13bd125"
"0025577MOR","41.815464","-88.081191","WGS84","Louise & Lee","based on collectors description","GeoLocate","98","685aedc8-7bd2-4f3b-aa2e-ff725e03df5c"
"0025629MOR","41.812419","-88.07231","WGS84","Louise & Lee","based on collectors description","GeoLocate","148","0817257f-8e6f-4ba1-b14a-b4a31419c921"
"0025702MOR","41.81301","-88.081644","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","8d5d8dab-89a6-4837-915b-d5e15b7ecd1e"
"0025704MOR","41.780115","-88.135254","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","e0ffc28a-bb74-4313-b37c-bd5252ca4562"
"0025714MOR","41.817062","-88.066442","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2061","bb708fdc-0f00-4e3f-8835-442ac3e29208"
"0025725MOR","41.81872","-88.06583","WGS84","Louise & Lee","based on collectors description","GeoLocate","96","ef785d24-04b9-4873-81cf-fa7ad4bf7721"
"0025727MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","adb67bc5-7b2a-4c01-97eb-b40445b8ad6c"
"0025728MOR","41.81872","-88.06583","WGS84","Louise & Lee","based on collectors description","GeoLocate","96","ec418bef-ed96-4572-9d57-7b48a0961a45"
"0025729MOR","41.818528","-88.05361","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","98ac9eb2-001d-40d5-886f-add23e688de3"
"0025731MOR","41.816806","-88.043997","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","44a84a4d-5194-4ced-b70e-392bf9b29de8"
"0025744MOR","41.815139","-88.060079","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","e97241bb-155d-466f-b4b5-9745d5f4576a"
"0025750MOR","41.820606","-88.050294","WGS84","Louise & Lee","based on collectors description","GeoLocate","146","0e4d6e09-e6b7-41a7-9898-085a2298748d"
"0025751MOR","41.812203","-88.042527","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","1b071347-b3d4-4485-b006-79e1f9fcbcdc"
"0025771MOR","41.818565","-88.053739","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","121f2965-c819-4a26-a2e1-a2f397c93203"
"0025772MOR","41.816721","-88.046239","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","075a2a4f-a31b-45da-909d-4f6d5479a6b6"
"0025792MOR","41.812163","-88.041304","WGS84","Louise & Lee","based on collectors description","GeoLocate","151","33b7f7ed-28c1-4007-b386-0bd3da906bfe"
"0025793MOR","41.812779","-88.042388","WGS84","Louise & Lee","based on collectors description","GeoLocate","153","c7154184-407e-491d-b2ed-95c4d64f351e"
"0025795MOR","41.820071","-88.05022","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","b723f8dd-6207-4a00-92c3-c9e7bba20140"
"0025796MOR","41.818368","-88.079037","WGS84","Louise & Lee","based on collectors description","GeoLocate","147","cb8a7b24-3367-4f02-b22d-75af3ef5d3e5"
"0025797MOR","41.81743","-88.085056","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","3c6a99a8-634a-4dc0-8ced-e7622a676e42"
"0025829MOR","41.866489","-88.098475","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","edfd8660-718e-4cb5-9993-b9a11c8b16d2"
"0025854MOR","41.888256","-88.221247","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","83a50d2c-10a4-4f23-af8a-c9d4dc0080a2"
"0025855MOR","41.888256","-88.221247","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","d7ea600a-c305-404d-a15a-db4c37428ad2"
"0025856MOR","41.888256","-88.221247","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","88ecba62-482e-43e1-b502-5e126abbdb98"
"0025868MOR","41.817973","-88.058374","WGS84","Louise & Lee","based on collectors description","GeoLocate","104","9005df95-5d44-4cb8-ac4c-331125d23508"
"0025880MOR","41.945667","-88.195087","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","2c44bd92-aa5d-4e11-aac0-e6634c9fd744"
"0025894MOR","41.754978","-88.136091","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","db48e676-b808-4fcd-a111-7cc9b5c431a1"
"0025895MOR","41.89062","-88.232608","WGS84","Louise & Lee","based on collectors description","GeoLocate","124","b6bd06e0-a68e-472b-a608-5a68a06ddbe7"
"0025896MOR","41.887858","-87.977247","WGS84","Louise & Lee","based on collectors description","GeoLocate","146","ad3f1e45-2dbf-45be-9dd3-cd6049e7f346"
"0025907MOR","41.814602","-88.048331","WGS84","Louise & Lee","based on collectors description","GeoLocate","148","6b107d0c-ca54-4aa1-896e-c47a9934e552"
"0025912MOR","41.820231","-88.04816","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","acf16435-acb8-4f98-b702-03b941943743"
"0025917MOR","41.799456","-88.184199","WGS84","Louise & Lee","based on collectors description","GeoLocate","212","4da47794-c1ac-429d-bc13-fae439a6cc11"
"0025923MOR","41.815889","-88.053904","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","094b04db-aedf-433b-b438-69f6a9b85ff5"
"0025927MOR","41.81518","-88.057773","WGS84","Louise & Lee","based on collectors description","GeoLocate","146","4c7f6062-8dd2-4bc3-8a05-f259cc5f6ab3"
"0025964MOR","41.89064","-88.217599","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","f4adda36-371f-4b5f-82fb-aff9d27f052e"
"0025965MOR","41.88963","-88.227727","WGS84","Louise & Lee","based on collectors description","GeoLocate","313","459f8094-1bad-4138-a561-4aaee87cf529"
"0025966MOR","41.755067","-88.136005","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","cc942dc0-96d9-46cc-92d0-e2dc8037eaea"
"0025968MOR","41.962005","-88.242614","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","3571287b-bbe7-4b04-94d4-ce8c7b7b874c"
"0026001MOR","41.75242","-88.06144","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","6bb0df6d-3869-46be-82d1-1f214d37d212"
"0026005MOR","41.748366","-88.063199","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","a8983072-7a67-48ed-a28a-884c6945b4b2"
"0026068MOR","41.813587","-88.09056","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","e9afb94a-bd5f-48aa-8e5b-7015261b35e4"
"0026089MOR","41.815702","-88.050241","WGS84","Louise & Lee","based on collectors description","GeoLocate","192","82cf0d78-616b-40ba-9e82-80965db07f8d"
"0026101MOR","41.815244","-88.037774","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","9f569a8d-5760-4dd9-bd83-cd95154f42e4"
"0026103MOR","41.799235","-88.047885","WGS84","Louise & Lee","based on collectors description","GeoLocate","105","5345d573-b669-4f7d-b441-a30a6a9864df"
"0026104MOR","41.813117","-88.161222","WGS84","Louise & Lee","based on collectors description","GeoLocate","225","42bcbb86-6736-4d9c-a730-6e8fb625be40"
"0026105MOR","41.813691","-88.089627","WGS84","Louise & Lee","based on collectors description","GeoLocate","105","e64a3080-8e6f-4a4f-afb1-b7164548512d"
"0026106MOR","41.814982","-88.038053","WGS84","Louise & Lee","based on collectors description","GeoLocate","229","3292a5c1-19f5-4be8-8469-7e0e477a1306"
"0026166MOR","41.984066","-88.04878","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","71525a74-aac2-4196-98e7-34bafa1a6b5f"
"0026234MOR","41.815686","-88.066678","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","272b3f11-7cf9-4f7a-9eb2-0651d8762f89"
"0026258MOR","41.815462","-88.037517","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","6edcf573-b0df-485d-a9c4-7ff8ecd52175"
"0026260MOR","41.812187","-88.072235","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","87127103-7b82-4b60-9fd4-90e158b305be"
"0026317MOR","41.814759","-88.037946","WGS84","Louise & Lee","based on collectors description","GeoLocate","200","84a14719-df77-4b69-afb1-db85cf010f54"
"0026325MOR","41.759306","-88.141262","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","669bea84-3ec2-4b3f-872a-bd8ade56f898"
"0026328MOR","41.81505","-88.06097","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","a4c91da1-5f51-4b02-92dc-c03aa318bf4e"
"0026331MOR","41.814378","-88.091633","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","a861d2c4-a64f-48dd-8e70-aad341ff234e"
"0026332MOR","41.816305","-88.080035","WGS84","Louise & Lee","based on collectors description","GeoLocate","147","8a358c04-b979-443c-b0ad-9073eeb2d4d9"
"0026393MOR","41.819757","-88.139613","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","c9f63966-7062-473a-870e-758d0ccdeca3"
"0026471MOR","41.784051","-88.120385","WGS84","Louise & Lee","based on collectors description","GeoLocate","159","76eb74f7-6d9c-40c1-8034-fd92cd61d6dc"
"0026482MOR","41.798673","-88.182718","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","d7dd7d31-b49e-4b14-be0a-8e30fa45be45"
"0026570MOR","41.819263","-88.050595","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","1edbf3c6-d7b1-489a-83bc-28cfa963d13a"
"0026571MOR","41.813138","-88.091558","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","7ddc8932-41ef-429d-b585-887fadbe0dcc"
"0026577MOR","41.820662","-88.041046","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","07ebd35e-24e1-4497-8a50-3efd7923188f"
"0026578MOR","41.81899","-88.079123","WGS84","Louise & Lee","based on collectors description","GeoLocate","150","59313a05-b23a-4288-bd19-6d5c3bf2892e"
"0026584MOR","41.712857","-87.969303","WGS84","Louise & Lee","based on collectors description","GeoLocate","166","08e66b71-acec-41a7-988b-43a7213490d1"
"0026585MOR","41.814745","-88.048084","WGS84","Louise & Lee","based on collectors description","GeoLocate","149","e417c2fe-6c6b-4e72-af96-0eb207a00b23"
"0026588MOR","41.813927","-88.049962","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","b01ce804-455a-4274-b2c3-157d08c730bc"
"0026589MOR","41.818213","-88.06215","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","c8e5ae6f-9796-4fd7-9eab-0d0a8cbc9fa2"
"0026597MOR","41.754978","-88.135662","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","3ad75163-100e-46ea-bccd-7da7a04bdf86"
"0026649MOR","41.796865","-88.182225","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","32ed1f00-fba4-4d02-b099-1b6e6dc57626"
"0026650MOR","41.739699","-88.080773","WGS84","Louise & Lee","based on collectors description","GeoLocate","215","5b95cdc0-f532-4ec0-832e-b3e3137e04c7"
"0026651MOR","41.791145","-88.024131","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","ef1675b0-86ae-4eff-baf2-5b5dfe378b3e"
"0026652MOR","41.797095","-88.182139","WGS84","Louise & Lee","based on collectors description","GeoLocate","215","eb921906-5b57-4034-8410-94bdca4991f7"
"0026653MOR","41.819304","-88.041894","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","f4a7dbc2-904e-487a-91f3-35f67a682abc"
"0026654MOR","41.821031","-88.045911","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","68a3d3c5-04fc-4363-8c77-f680468bd31f"
"0026655MOR","41.815264","-88.080815","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","fd1808f5-6179-4de2-86ca-8e12ed8d8189"
"0026660MOR","41.818549","-88.053567","WGS84","Louise & Lee","based on collectors description","GeoLocate","201","eae38d27-118d-4c25-8a7d-479fd60744ef"
"0026661MOR","41.712745","-87.969754","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","244078a7-b485-4e4d-900a-22541b47187b"
"0026774MOR","41.799193","-88.047766","WGS84","Louise & Lee","based on collectors description","GeoLocate","101","8d5c0516-27c3-40cb-bde2-79f26c430733"
"0026780MOR","41.813415","-88.090903","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","ad177f5b-9772-47ea-bfba-a402d64db2ad"
"0026786MOR","41.819048","-88.091144","WGS84","Louise & Lee","based on collectors description","GeoLocate","206","46837604-e0e9-4d11-85e8-7fc50de903ee"
"0026791MOR","41.819768","-88.043257","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","7836d06c-563b-4778-8041-1daed566f00e"
"0026796MOR","41.816169","-88.037903","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","20c515a8-8a29-4afa-a4bc-7fa57cc08ec7"
"0026807MOR","41.814858","-88.036899","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","6a43d51f-7f8a-49b1-8855-7ae035663033"
"0026813MOR","41.812907","-88.092019","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","d47d0670-3d4a-4e12-977a-4212c5d35989"
"0026930MOR","41.812779","-88.09159","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","7a740cbc-7d2a-469c-bdcb-f4d1fa3c2151"
"0026958MOR","41.9664","-88.230072","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","02e990fd-f1d8-4936-bee3-7a83b2ba1b2a"
"0026983MOR","41.93887","-87.975442","WGS84","Louise & Lee","based on collectors description","GeoLocate","102","65af17ba-7517-4f0b-813c-f9af6f8bc4e1"
"0026984MOR","41.93887","-87.975442","WGS84","Louise & Lee","based on collectors description","GeoLocate","102","bdea04f4-bbb4-4c5f-9448-4a61e6990749"
"0027009MOR","41.956699","-88.244758","WGS84","Louise & Lee","based on collectors description","GeoLocate","193","69613121-3a78-4302-a29f-c5412f77141a"
"0027023MOR","41.265732","-87.274893","WGS84","Louise and Lee","based on collectors description","GeoLocate","207","01b75564-3fc0-4b3d-8bbc-c91a47cc51ba"
"0027024MOR","42.227186","-87.815264","WGS84","Louise and Lee","based on collectors description","GeoLocate","259","8b08c74a-3c0b-4c81-ba05-025526161354"
"0027025MOR","41.526485","-88.193392","WGS84","Louise and Lee","based on collectors description","GeoLocate","182","8f8939bd-84ed-41bb-ae43-04213c5caf1e"
"0027026MOR","41.669277","-86.412484","WGS84","Louise and Lee","based on collectors description","GeoLocate","180","bf38d1bb-1e46-4960-a991-3859197bea7b"
"0027027MOR","41.329499","-86.737394","WGS84","Louise and Lee","based on collectors description","GeoLocate","193","d49d1532-f5cf-4370-8dd8-1d07ae852952"
"0027028MOR","41.16054","-87.523008","WGS84","Louise and Lee","based on collectors description","GeoLocate","167","b65e6f8c-75ab-499a-b17e-d8acadb3147a"
"0027029MOR","41.66857","-87.006296","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","197","9232e21b-c5d3-4920-9395-1854e807492f"
"0027030MOR","41.737296","-86.485884","WGS84","Louise and Lee","based on collectors description","GeoLocate","192","fc0628ab-239a-4f7f-885a-52bbb1da4c83"
"0027031MOR","41.623154","-87.996655","WGS84","Louise and Lee","based on collectors description","GeoLocate","142","e4adc93c-51c6-49de-82c6-bb7b25893b44"
"0027032MOR","41.257065","-86.891843","WGS84","Louise and Lee","based on collectors description","GeoLocate","157","e3c334af-7443-4373-8fd7-adae8f2e1f36"
"0027033MOR","42.020642","-87.872885","WGS84","Louise and Lee","based on collectors description","GeoLocate","193","895828a4-555f-4a3c-9b96-d66ef1f9b5ae"
"0027034MOR","41.83414","-88.371572","WGS84","Louise and Lee","based on collectors description","GeoLocate","151","2216bf7c-bbc2-4865-99d7-8d182fc60b97"
"0027035MOR","42.150569","-87.782884","WGS84","Louise and Lee","based on collectors description","GeoLocate","205","a45e8cc2-4430-4f77-9c81-38cc32259078"
"0027036MOR","41.635976","-88.538051","WGS84","Louise and Lee","based on collectors description","GeoLocate","63","51ddbf71-b6e8-4d9d-b9f5-de19c27af36f"
"0027037MOR","41.877963","-86.603143","WGS84","Louise and Lee","based on collectors description","GeoLocate","118","4b60ce0c-bd29-40e2-9b57-149b1a942a55"
