"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","country","county","cultivationstatus","dateidentified","eventdate","georeferenceprotocol","habitat","identificationremarks","identifiedby","locality","localitysecurity","localitysecurityreason","municipality","occurrenceremarks","processingstatus","sciname","startdayofyear","stateprovince","stateProvince","verbatimattributes","verbatimcoordinates","verbatimeventdate","year"
"0027252MOR","41.814791","-88.040262999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","96","","","","","","","","","","","","","","","","","","","","","","",""
"0027253MOR","41.814951000000001","-88.048246000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","96","","","","","","","","","","","","","","","","","","","","","","",""
"0027254MOR","41.815269999999998","-88.041723000000005","WGS84","Louise and Lee","based on collectors description","GeoLocate","137","","","","","","","","","","","","","","","","","","","","","","",""
"0027255MOR","41.818404999999998","-88.043696999999995","WGS84","Louise and Lee","based on collectors description","GeoLocate","96","","","","","","","","","","","","","","","","","","","","","","",""
"0027256MOR","41.814982999999998","-88.048760999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","110","","","","","","","","","","","","","","","","","","","","","","",""
"0027257MOR","41.814726999999998","-88.048439000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","98","","","","","","","","","","","","","","","","","","","","","","",""
"0027258MOR","41.996282999999998","-88.354912999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","93","","","","","","","","","","","","","","","","","","","","","","",""
"0027259MOR","41.996282999999998","-88.354912999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","93","","","","","","","","","","","","","","","","","","","","","","",""
"0027260MOR","41.357168999999999","-88.435432000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","204","","","","","","","","","","","","","","","","","","","","","","",""
"0027261MOR","41.025472999999998","-86.995913000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","181","","","","","","","","","","","","","","","","","","","","","","",""
"0027262MOR","42.066491999999997","-88.267819000000003","WGS84","Louise & Lee","unable to determine if in Trout Park or Trout Park Nature Preserve","GeoLocate","383","","","","","","","","","","","","","","","","","","","","","","",""
"0027263MOR","41.883054999999999","-88.307239999999993","WGS84","Lee & Louise","to little information from collector","GeoLocate","701","","","","","","","","","","","","","Geneva","","","","","","","","","",""
"0027264MOR","41.203541999999999","-87.980878000000004","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","92","","","","","","","","","","","","","","","","","","","","","","",""
"0027265MOR","41.204462999999997","-87.984228000000002","WGS84","Louise","Based on state park mapping at Rock Creek","GeoLocate","193","","","","","","","","","","","","","","","","","","","","","","",""
"0027266MOR","41.682004999999997","-88.362039999999993","WGS84","Louise","based on 1/4 sec & collectors desc.","GeoLocate","133","","","","","","","","","","","","","","","","","","","","","","",""
"0027267MOR","41.678001000000002","-88.360892000000007","WGS84","Louise","based on Oswego Cemetary[Oswego Township Cemetary] the other cemeteries in area do not come close to the corrected section & 1/4 section","GeoLocate","103","","","","","","","","","","","","","","","","","","","","","","",""
"0027268MOR","42.556623000000002","-88.156745000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","205","","","","","","","","","","","","","","","","","","","","","","",""
"0027269MOR","42.360008999999998","-88.167023999999998","WGS84","Louise and Lee","based on collectors description","GeoLocate","172","","","","","","","","","","","","","","","","","","","","","","",""
"0027270MOR","41.395935000000001","-87.763283999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","212","","","","","","","","","","","","","","","","","","","","","","",""
"0027271MOR","41.572823999999997","-87.952766999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","214","","","","","","","","","","","","","","","","","","","","","","",""
"0027272MOR","42.392932999999999","-88.618730999999997","WGS84","Louise and Lee","between rte 23 and end of section 11","GeoLocate","168","","","","","","","","","","","","","","","","","","","","","","",""
"0027273MOR","42.838548000000003","-88.097969000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","197","","","","","","","","","","","","","","","","","","","","","","",""
"0027274MOR","42.747422999999998","-88.714310999999995","WGS84","Louise and Lee","based on collectors description","GeoLocate","212","","","","","","","","","","","","","","","","","","","","","","",""
"0027275MOR","42.451974","-88.188884999999999","WGS84","Louise and Lee","Based on description, confirmed with Google Maps but not with geolocate","GeoLocate","200","","","","","","","","","","","","","","","","","","","","","","",""
"0027276MOR","41.454236000000002","-87.401821999999996","WGS84","Louise and Lee","based on collectors description - old pensy ROW","GeoLocate","130","","","","","","","","","","","","","","","","","","","","","","",""
"0027277MOR","41.456201","-86.770455999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","159","","","","","","","","","","","","","","","","","","","","","","",""
"0027278MOR","40.821542999999998","-87.455736999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","152","","","","","","","","","","","","","","","","","","","","","","",""
"0027279MOR","41.458084999999997","-87.070088999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","180","","","","","","","","","","","","","","","","","","","","","","",""
"0027280MOR","41.693829000000001","-86.321331999999998","WGS84","Louise and Lee","based on collectors description","GeoLocate","157","","","","","","","","","","","","","","","","","","","","","","",""
"0027281MOR","41.531539000000002","-88.011264999999995","WGS84","Louise and Lee","based on collectors description","GeoLocate","182","","","","","","","","","","","","","","","","","","","","","","",""
"0027282MOR","41.925840000000001","-88.186295999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","184","","","","","","","","","","","","","","","","","","","","","","",""
"0027283MOR","41.818404999999998","-88.079188000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","86","","","","","","","","","","","","","","","","","","","","","","",""
"0027284MOR","42.098649000000002","-88.706086999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","196","","","","","","","","","","","","","","","","","","","","","","",""
"0027285MOR","41.812296000000003","-88.040993","WGS84","Louise and Lee","based on collectors description & Arboretum grid","GeoLocate","130","","","","","","","","","","","","","","","","","","","","","","",""
"0027286MOR","41.818404999999998","-88.079188000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","86","","","","","","","","","","","","","","","","","","","","","","",""
"0027287MOR","41.771898","-88.143302000000006","WGS84","Lee & Louise","Vague description from collector","GeoLocate","1466","","","","","","","","","","","","","","","","","","","","","TRS: T38N, R9E, 10E Sec 19,24","",""
"0027288MOR","41.818404999999998","-88.079188000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","86","","","","","","","","","","","","","","","","","","","","","","",""
"0027289MOR","42.368716999999997","-88.860619","WGS84","Louise and Lee","based on collectors description","GeoLocate","213","","","","","","","","","","","","","","","","","","","","","","",""
"0027290MOR","41.815300999999998","-88.091581000000005","WGS84","Louise and Lee","based on collectors description","GeoLocate","217","","","","","","","","","","","","","","","","","","","","","","",""
"0027291MOR","41.816678000000003","-88.065498000000005","WGS84","Louise and Lee","based on collectors description","GeoLocate","152","","","","","","","","","","","","","","","","","","","","","","",""
"0027292MOR","","","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","","","","","","","","","","","","","","","","","","","","","","",""
"0027293MOR","41.814982999999998","-88.061978999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","91","","","","","","","","","","","","","","","","","","","","","","",""
"0027294MOR","41.802331000000002","-87.898899","WGS84","Louise and Lee","based on collectors description","GeoLocate","2050","","","","","","","","","","","","","","","","","","","","","","",""
"0027295MOR","41.602203000000003","-87.280771999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","179","","","","","","","","","","","","","","","","","","","","","TRS: T36N R8E sec 1 NE 1/4","",""
"0027296MOR","41.519404000000002","-87.456135000000003","WGS84","Louise","based on 1/4 sec info.","GeoLocate","435","","","","","","","","","","","","","","","","","","","","","","",""
"0027297MOR","42.439163999999998","-87.804957000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","","","","","","","","","","","","","","","","","","","","","","",""
"0027298MOR","42.457785000000001","-87.804310999999998","WGS84","Louise and Lee","based on collectors description","GeoLocate","188","","","","","","","","","","","","","","","","","","","","","","",""
"0027299MOR","41.519500999999998","-87.416353999999998","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","","",""
"0027300MOR","41.683973999999999","-86.843552000000003","WGS84","Louise and Lee","based on 1/4 sec & collectors desc.","GeoLocate","115","","","","","","","","","","","","","","","","","","","","","","",""
"0027301MOR","41.725135999999999","-86.897615000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","145","","","","","","","","","","","","","","","","","","","","","","",""
"0027302MOR","41.015458000000002","-87.478556999999995","WGS84","l","based on collectors description","GeoLocate","165","","","","","","","","","","","","","","","","","","","","","","",""
"0027303MOR","41.678148","-87.006157000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0027304MOR","41.631523000000001","-87.092172000000005","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec corrected section number","GeoLocate","189","","","","","","","","","","","","","","","","","","","","","","",""
"0027305MOR","41.651918999999999","-87.012827999999999","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","86","","","","","","","","","","","","","","","","","","","","","","",""
"0027306MOR","41.618642000000001","-87.098089999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","217","","","","","","","","","","","","","","","","","","","","","","",""
"0027307MOR","41.661706000000002","-87.009062999999998","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","159","","","","","","","","","","","","","","","","","","","","","","",""
"0027308MOR","41.666490000000003","-87.035300000000007","WGS84","Louise and Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0027309MOR","41.658315000000002","-87.058093999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","204","","","","","","","","","","","","","","","","","","","","","","",""
"0027310MOR","42.723542999999999","-88.303222000000005","WGS84","Louise and Lee","based on collectors description","GeoLocate","206","","","","","","","","","","","","","","","","","","","","","","",""
"0027311MOR","41.325251000000002","-86.602231000000003","WGS84","Louise and Lee","based on modified collectors description Oak Grove Cemetery","GeoLocate","189","","","","","","","","","","","","","","","","","","","","","","",""
"0027312MOR","41.651851999999998","-86.367761999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","200","","","","","","","","","","","","","","","","","","","","","","",""
"0027313MOR","42.830848000000003","-88.475987000000003","WGS84","Louise and Lee","based on collectors description","GeoLocate","208","","","","","","","","","","","","","","","","","","","","","","",""
"0027314MOR","41.452086999999999","-87.610381000000004","WGS84","Louise and Lee","based on collectors description","GeoLocate","182","","","","","","","","","","","","","","","","","","","","","","",""
"0027315MOR","41.251227","-88.186113000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","167","","","","","","","","","","","","","","","","","","","","","","",""
"0027316MOR","41.711328000000002","-87.996319","WGS84","Louise and Lee","based on collectors description","GeoLocate","801","","","","","","","","","","","","","","","","","","","","","","",""
"0027317MOR","41.562195000000003","-87.590861000000004","WGS84","Louise and Lee","based on collectors description","GeoLocate","197","","","","","","","","","","","","","","","","","","","","","TRS: T36N R14E sec 36 S 1/2","",""
"0027318MOR","41.603445000000001","-87.556061","WGS84","Louise and Lee","based on collectors description","GeoLocate","193","","","","","","","","","","","","","","","","","","","","","","",""
"0027319MOR","42.007264999999997","-86.548029999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","199","","","","","","","","","","","","","","","","","","","","","","",""
"0027320MOR","41.951275000000003","-86.557834","WGS84","Louise and Lee","based on quadrangle map corrected quad and sec. nos.","GeoLocate","151","","","","","","","","","","","","","","","","","","","","","","",""
"0027321MOR","41.784269999999999","-86.717146","WGS84","Louise and Lee","based on collectors description","GeoLocate","152","","","","","","","","","","","","","","","","","","","","","","",""
"0027322MOR","42.409557","-88.774861000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","201","","","","","","","","","","","","","","","","","","","","","","",""
"0027323MOR","42.015621000000003","-88.253103999999993","WGS84","Louise and Lee","based on collectors description","GeoLocate","109","","","","","","","","","","","","","","","","","","","","","","",""
"0027324MOR","41.710047000000003","-87.995890000000003","WGS84","Louise and Lee","based on collectors description","GeoLocate","941","","Du Page","","","","","","","","","","","","","","","","","","","","",""
"0027325MOR","41.488339000000003","-87.655254999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","419","","","","","","","","","","","","","","","","","","","","","","",""
"0027326MOR","41.556066999999999","-87.594147000000007","WGS84","Louise and Lee","based on collectors description","GeoLocate","180","","","","","","","","","","","","","","","","","","","","","","",""
"0027327MOR","41.734713999999997","-87.679851999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","195","","","","","","","","","","","","","","","","","","","","","","",""
"0027328MOR","41.195377999999998","-87.266086999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","134","","","","","","","","","","","","","","","","","","","","","","",""
"0027329MOR","41.186709999999998","-88.183369999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","109","","","","","","","","","","","","","","","","","","","","","","",""
"0027330MOR","41.677582000000001","-88.361210999999997","WGS84","Louise","based on Oswego Cemetary[Oswego Township Cemetary]","GeoLocate","187","","","","","","","","","","","","","","","","","","","","","","",""
"0027331MOR","41.709282999999999","-87.944181999999998","WGS84","Louise and Lee","High uncertainty, May be center of sec. 11 instead of NE, NE","GeoLocate","969","","","","","","","","","","","","","","","","","","","","","","",""
"0027332MOR","41.703722999999997","-87.955466000000001","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","438","","","","","","","","","","","","","","","","","","","","","","",""
"0027333MOR","41.737363999999999","-88.850705000000005","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","","",""
"0027334MOR","41.758817999999998","-88.097164000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","207","","","","","","","","","","","","","","","","","","","","","","",""
"0027335MOR","41.324233999999997","-88.276724999999999","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","218","","","","","","","","","","","","","","","","","","","","","","",""
"0027336MOR","42.592016000000001","-87.816001","WGS84","Louise and Lee","based on collectors description","GeoLocate","177","","","","","","","","","","","","","","","","","","","","","","",""
"0027337MOR","","","WGS84","Louise and Lee","based on collectors description","GeoLocate","192","","","","","","","","","","","","","","","","","","","","","","",""
"0027339MOR","41.551704999999998","-87.926458999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","181","","","","","","","","","","","","","","","","","","","","","","",""
"0027340MOR","42.139042000000003","-88.093671999999998","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","326","","","","","","","","","","","","","","","","","","","","","","",""
"0027341MOR","42.006045","-87.863533000000004","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","219","","","","","","","","","","","","","","","","","","","","","","",""
"0027342MOR","41.836722999999999","-86.626267999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","226","","","","","","","","","","","","","","","","","","","","","","",""
"0027343MOR","42.015746","-88.248289999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","167","","","","","","","","","","","","","","","","","","","","","","",""
"0027344MOR","41.489401999999998","-87.65701","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","203","","","","","","","","","","","","","","","","","","","","","","",""
"0027345MOR","42.055574999999997","-87.883388999999994","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","143","","","","","","","","","","","","","","","","","","","","","","",""
"0027346MOR","41.967682000000003","-86.549912000000006","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","68","","","","","","","","","","","","","","","","","","","","","","",""
"0027347MOR","41.813088","-88.035065000000003","WGS84","Louise and Lee","based on collectors description","GeoLocate","211","","","","","","","","","","","","","","","","","","","","","","",""
"0027348MOR","41.871890999999998","-86.638921999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0027349MOR","41.871890999999998","-86.638921999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","198","","","","","","","","","","","","","","","","","","","","","","",""
"0027350MOR","41.785710000000002","-86.717102999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","421","","","","","","","","","","","","","","","","","","","","","","",""
"0027351MOR","42.267406000000001","-88.924468000000005","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","","",""
"0027352MOR","41.880909000000003","-87.829355000000007","WGS84","Louise","Based on ill geo survery plss/polygon needs correction","GeoLocate","215","","","","","","","","","","","","","","","","","","","","","TRS: T39N R12E sec 11","",""
"0027353MOR","41.204625999999998","-87.987083999999996","WGS84","Louise and Lee","based on collectors description 1/4 section corrected","GeoLocate","158","","","","","","","","","","","","","","","","","","","","","","",""
"0027354MOR","41.677719000000003","-88.362778000000006","WGS84","Louise and Lee","based on Oswego Cemetary[Oswego Township Cemetary] the other cemeteries in area do not come close to the corrected section & 1/4 section","GeoLocate","48","","","","","","","","","","","","","","","","","","","","","","",""
"0027355MOR","41.204462999999997","-87.984228000000002","WGS84","Louise","Based on state park mapping at Rock Creek","GeoLocate","193","","","","","","","","","","","","","","","","","","","","","","",""
"0027356MOR","41.205044999999998","-87.985303000000002","WGS84","Louise","Based on mapping of state park along Rock Creek","GeoLocate","220","","","","","","","","","","","","","","","","","","","","","","",""
"0027357MOR","42.552892999999997","-88.162538999999995","WGS84","Louise and Lee","based on collectors description","GeoLocate","202","","","","","","","","","","","","","","","","","","","","","","",""
"0027358MOR","42.275872999999997","-87.833564999999993","WGS84","Louise and Lee","based on collectors description","GeoLocate","123","","","","","","","","","","","","","","","","","","","","","","",""
"0027359MOR","41.359848","-87.232241999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","189","","","","","","","","","","","","","","","","","","","","","","",""
"0027360MOR","42.173673000000001","-88.199712000000005","WGS84","Louise","based on Collectors descripton","GeoLocate","127","","","","","","","","","","","","","","","","","","","","","","",""
"0027394MOR","41.669404999999998","-86.412227000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","188","","","","","","","","","","","","","","","","","","","","","","",""
"0027395MOR","42.838760000000001","-88.097206999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","166","","","","","","","","","","","","","","","","","","","","","","",""
"0027396MOR","41.562612000000001","-87.590560999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","TRS: T36N R14E sec 36 S 1/2","",""
"0027397MOR","42.014955","-88.249668","WGS84","Louise and Andrew","ambiguity about whether this is the NE4 of the NE4 of the NW4, or the NE4, then the NE4 of that and the NW4 of that","GeoLocate","310","","","","","","","","","","","","","","","","","","","","","","",""
"0027398MOR","41.993761999999997","-88.462091000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","113","","","","","","","","","","","","","","","","","","","","","","",""
"0027399MOR","41.814118999999998","-88.063524000000001","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","156","","","","","","","","","","","","","","","","","","","","","","",""
"0027400MOR","41.814695","-88.051164","WGS84","Louise and Lee","based on collectors description","GeoLocate","125","","","","","","","","","","","","","","","","","","","","","","",""
"0027401MOR","41.816997999999998","-88.052194","WGS84","Louise and Lee","based on collectors description","GeoLocate","779","","","","","","","","","","","","","","","","","","","","","","",""
"0027402MOR","41.813654999999997","-88.034780999999995","WGS84","Louise and Lee","based on collectors description","GeoLocate","236","","","","","","","","","","","","","","","","","","","","","","",""
"0027404MOR","41.303004000000001","-88.575179000000006","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","270","","","","","","","","","","","","","","","","","","","","","","",""
"0027405MOR","41.818533000000002","-88.078457999999998","WGS84","Louise and Lee","based on collectors description","GeoLocate","90","","","","","","","","","","","","","","","","","","","","","","",""
"0027406MOR","41.816422000000003","-88.062494000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","161","","","","","","","","","","","","","","","","","","","","","","",""
"0027407MOR","41.813383000000002","-88.075969000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","136","","","","","","","","","","","","","","","","","","","","","","",""
"0027408MOR","41.818533000000002","-88.078457999999998","WGS84","Louise and Lee","based on collectors description","GeoLocate","90","","","","","","","","","","","","","","","","","","","","","","",""
"0027409MOR","41.813383000000002","-88.075969000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","136","","","","","","","","","","","","","","","","","","","","","","",""
"0027410MOR","40.778573999999999","-87.164665999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","121","","","","","","","","","","","","","","","","","","","","","","",""
"0027411MOR","41.940401999999999","-88.455821","WGS84","Louise and Lee","based on collectors description","GeoLocate","165","","","","","","","","","","","","","","","","","","","","","","",""
"0027433MOR","41.617342000000001","-86.842243999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","190","","","","","","","","","","","","","","","","","","","","","TRS: T37N R4W sec 35 NW 1/4","",""
"0027436MOR","42.173887999999998","-88.271589000000006","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","50","","","","","","","","","","","","","","","","","","","","","","",""
"0027437MOR","42.314610999999999","-88.224931999999995","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","231","","","","","","","","","","","","","","","","","","","","","","",""
"0027438MOR","42.174337000000001","-88.198160999999999","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","160","","","","","","","","","","","","","","","","","","","","","","",""
"0027439MOR","42.785581000000001","-88.214320000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","208","","","","","","","","","","","","","","","","","","","","","","",""
"0027440MOR","41.737296000000001","-86.485883999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","192","","","","","","","","","","","","","","","","","","","","","","",""
"0027441MOR","41.163474999999998","-89.741928999999999","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","210","","","","","","","","","","","","","","","","","","","","","","",""
"0027442MOR","42.837766000000002","-88.467661000000007","WGS84","Louise and Lee","based on collectors description","GeoLocate","191","","","","","","","","","","","","","","","","","","","","","","",""
"0027443MOR","41.464382999999998","-87.681032999999999","WGS84","Louise and Lee","based on collectors description","GeoLocate","90","","","","","","","","","","","","","","","","","","","","","","",""
"0027444MOR","41.575087000000003","-87.955257000000003","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","210","","","","","","","","","","","","","","","","","","","","","","",""
"0027445MOR","41.394711999999998","-87.763112000000007","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","301","","","","","","","","","","","","","","","","","","","","","","",""
"0027451MOR","41.516064","-88.315824000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","217","","","","","","","","","","","","","","","","","","","","","","",""
"0027452MOR","41.562612000000001","-87.590560999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","TRS: T36N R14E sec 36 S 1/2","",""
"0027453MOR","41.764079000000002","-86.738390999999993","WGS84","Louise and Lee","based on collectors description","GeoLocate","161","","","","","","","","","","","","","","","","","","","","","","",""
"0027454MOR","41.5","-87.59","WGS84","Louise & Lee","could not narrow further because of street names due to curvature of earth","GeoLocate","300","","","","","","","","","","","","","Lansing","","","","","","","","TRS: T35N R14E sec 10","",""
"0027455MOR","41.500576000000002","-88.432524999999998","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","119","","","","","","","","","","","","","","","","","","","","","","",""
"0027456MOR","41.158952999999997","-87.529623000000001","WGS84","Louise and Lee","based on collectors description","GeoLocate","189","","","","","","","","","","","","","","","","","","","","","","",""
"0027457MOR","41.159182000000001","-86.964793999999998","WGS84","Louise and Lee","based on collectors description","GeoLocate","218","","","","","","","","","","","","","","","","","","","","","","",""
"0027458MOR","41.566934000000003","-87.603637000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","496","","","","","","","","","","","","","","","","","","","","","","",""
"0027459MOR","41.791797000000003","-86.430366000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","172","","","","","","","","","","","","","","","","","","","","","","",""
"0027460MOR","41.562612000000001","-87.590560999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","TRS: T36N R14E sec 36 S 1/2","",""
"0027461MOR","41.562612000000001","-87.590560999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","","","","","","","","","","","","","","","","","","","","","TRS: T36N R14E sec 36 S 1/2","",""
"0027467MOR","41.777538999999997","-88.205313000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","2010","","","","","","","","","","","","","","","","","","","","","","",""
"0027468MOR","41.778754999999997","-88.123215999999999","WGS84","Louise & Lee","based on collectors description","GeoLocate","255","","","","","","","","","","","","","","","","","","","","","","",""
"0027517MOR","40.957447000000002","-87.510206999999994","WGS84","Louise","based on collectors desc. & 1/4 sec","GeoLocate","187","","","","","","","","","","","","","","","","","","","","","","",""
"0027518MOR","41.67539","-86.996436000000003","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","117","","","","","","","","","","","","","","","","","","","","","","",""
"0027519MOR","41.386651000000001","-88.241055000000003","WGS84","Louise and Lee","based on collectors description","GeoLocate","213","","","","","","","","","","","","","","","","","","","","","","",""
"0027520MOR","41.21613","-87.275886999999997","WGS84","Louise and Lee","based on collectors description","GeoLocate","188","","","","","","","","","","","","","","","","","","","","","","",""
"0027521MOR","41.40484","-86.735946999999996","WGS84","Louise and Lee","based on collectors description","GeoLocate","83","","","","","","","","","","","","","","","","","","","","","","",""
"0027522MOR","41.733598999999998","-86.874672000000004","WGS84","Louise and Lee","based on collectors description","GeoLocate","214","","","","","","","","","","","","","","","","","","","","","","",""
"0027523MOR","41.653410000000001","-87.048907","WGS84","Lee & Louise","based on location of Ghost Town","GeoLocate","3613","","","","","","","","","","","","","","","","","","","","","","",""
"0027524MOR","41.653377999999996","-87.049723","WGS84","Louise and Lee","based on collectors description","GeoLocate","211","","","","","","","","","","","","","","","","","","","","","","",""
"0027525MOR","41.651583000000002","-87.067244000000002","WGS84","Louise and Lee","based on collectors description","GeoLocate","216","","","","","","","","","","","","","","","","","","","","","","",""
"0027526MOR","41.748559999999998","-86.739773","WGS84","Louise","based on collectors desc. & 1/4 sec","GeoLocate","135","","","","","","","","","","","","","","","","","","","","","","",""
"0027527MOR","41.424295000000001","-86.481016999999994","WGS84","Louise and Lee","based on collectors description","GeoLocate","190","","","","","","","","","","","","","","","","","","","","","","",""
"0027528MOR","41.758249999999997","-86.489635000000007","WGS84","Louise and Lee","based on collectors description","GeoLocate","206","","","","","","","","","","","","","","","","","","","","","","",""
"0027529MOR","42.674554000000001","-87.839752000000004","WGS84","Louise and Lee","based on collectors description","GeoLocate","222","","","","","","","","","","","","","","","","","","","","","","",""
"0027530MOR","41.636043999999998","-87.550200000000004","WGS84","Louise and Lee","based on collectors description","GeoLocate","201","","","","","","","","","","","","","","","","","","","","","","",""
"0027531MOR","41.407446999999998","-87.603564000000006","WGS84","Louise and Lee","based on collectors description","GeoLocate","181","","","","","","","","","","","","","","","","","","","","","","",""
"0027532MOR","41.814695","-88.050284000000005","WGS84","Louise & Lee","based on collectors description","GeoLocate","513","","","","","","","","","","","","","","","","","","","","","","",""
"0027533MOR","42.497472000000002","-87.812044","WGS84","Louise and Lee","based on collectors description","GeoLocate","214","","","","","","","","","","","","","","","","","","","","","","",""
"0027534MOR","41.562815999999998","-87.594487000000001","WGS84","Louise and Lee","based on collectors desc. & 1/4 sec","GeoLocate","196","","","","","","","","","","","","","","","","","","","","","","",""
"0027537MOR","41.815216999999997","-88.082751000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","112","","","","","","","","","","","","","","","","","","","","","","",""
"0027593MOR","41.815815000000001","-88.081310000000002","WGS84","Louise & Lee","based on collectors description","GeoLocate","97","","","","","","","","","","","","","","","","","","","","","","",""
"0027596MOR","41.89141","-88.231503000000004","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","","","","","","","","","","","","","","","","","","","","","","",""
