"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000932MOR","41.943181","-87.976107","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0000933MOR","41.966656","-88.250888","WGS84","Louise & Lee","based on collectors description","GeoLocate","215"
"0000963MOR","41.744545","-87.985749","WGS84","Louise & Lee","based on collectors description","GeoLocate","59"
"0000966MOR","41.81269","-88.070143","WGS84","Louise & Lee","based on collectors description","GeoLocate","209"
"0000993MOR","41.816337","-88.037441","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0000997MOR","41.813272","-88.091558","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0000998MOR","41.89109","-88.23134","WGS84","Louise & Lee","based on collectors description","GeoLocate","198"
"0001000MOR","41.816038","-88.037345","WGS84","Louise & Lee","based on collectors description","GeoLocate","211"
"0001014MOR","41.812802","-88.072911","WGS84","Louise & Lee","based on collectors description","GeoLocate","30"
"0001015MOR","41.812786","-88.072691","WGS84","Louise & Lee","based on collectors description","GeoLocate","50"
"0001025MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","210"
"0001035MOR","41.816465","-88.046196","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0001036MOR","41.812083","-88.072664","WGS84","Louise & Lee","based on collectors description","GeoLocate","98"
"0001037MOR","41.807991","-88.022028","WGS84","Louise & Lee","based on collectors description","GeoLocate","503"
"0001070MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0001079MOR","41.816793","-88.064789","WGS84","Louise & Lee","based on collectors description","GeoLocate","151"
"0001090MOR","41.813042","-88.053749","WGS84","Louise & Lee","based on collectors description","GeoLocate","299"
"0001107MOR","41.892171","-87.964629","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0001118MOR","41.818757","-88.053803","WGS84","Louise & Lee","based on collectors description","GeoLocate","203"
"0001119MOR","41.815558","-88.061893","WGS84","Louise & Lee","based on collectors description","GeoLocate","203"
"0001175MOR","41.774303","-88.143429","WGS84","Louise & Lee","based on Collectors description","GeoLocate","219"
"0001209MOR","41.702239","-87.979551","WGS84","Louise & Lee","based on Collectors description","GeoLocate","198"
"0001215MOR","41.81469","-88.088425","WGS84","Louise & Lee","based on Collectors description","GeoLocate","99"
"0001258MOR","41.816438","-88.064167","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0001279MOR","41.816145","-88.083478","WGS84","Louise & Lee","based on Collectors description","GeoLocate","98"
"0001283MOR","41.817317","-88.065755","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1996"
"0001284MOR","41.817381","-88.046787","WGS84","Louise & Lee","based on Collectors description","GeoLocate","194"
"0001286MOR","41.816717","-88.045424","WGS84","Louise & Lee","based on Collectors description","GeoLocate","148"
"0001344MOR","41.817541","-88.06303","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0001353MOR","41.819076","-88.053996","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0001365MOR","41.929641","-88.181878","WGS84","Louise & Lee","based on collectors description","GeoLocate","605"
"0001381MOR","41.776478","-88.148322","WGS84","Louise & Lee","based on Collectors description","GeoLocate","51"
"0001385MOR","41.841768","-88.065547","WGS84","Louise & Lee","based on Collectors description","GeoLocate","201"
"0001386MOR","41.773634","-88.143429","WGS84","Louise & Lee","based on Collectors description","GeoLocate","200"
"0001387MOR","41.749534","-88.129377","WGS84","Louise & Lee","based on Collectors description","GeoLocate","104"
"0001388MOR","40.777537","-87.162413","","","","","100"
"0001410MOR","41.817541","-88.06303","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0001411MOR","41.816838","-88.058717","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0001412MOR","41.813794","-88.079198","WGS84","Louise & Lee","based on collectors description","GeoLocate","152"
"0001413MOR","41.816769","-88.041561","WGS84","Louise & Lee","based on collectors description","GeoLocate","104"
"0001435MOR","41.757917","-88.140296","WGS84","Louise & Lee","based on collectors description","GeoLocate","410"
"0001438MOR","41.81453","-88.03787","WGS84","Louise & Lee","based on collectors description","GeoLocate","101"
"0001439MOR","41.817541","-88.06303","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0001456MOR","41.815377","-88.037725","WGS84","Louise & Lee","based on collectors description","GeoLocate","199"
"0001494MOR","41.814578","-88.046067","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0001524MOR","41.896883","-87.977605","WGS84","Louise & Lee","based on collectors description","GeoLocate","49"
"0001527MOR","41.821509","-88.077137","WGS84","Louise & Lee","based on collectors description","GeoLocate","60"
"0001563MOR","41.814658","-88.057912","WGS84","Louise & Lee","based on collectors description","GeoLocate","209"
"0001564MOR","41.817072","-88.041132","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0001578MOR","41.811591","-88.038375","WGS84","Louise & Lee","based on collectors description","GeoLocate","150"
"0001731MOR","41.816457","-88.044812","WGS84","Louise & Lee","based on collectors description","GeoLocate","115"
"0001741MOR","41.820871","-88.049855","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0001748MOR","41.82522","-88.049662","WGS84","Louise & Lee","based on collectors description","GeoLocate","199"
"0001806MOR","41.8158","-88.038396","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0001808MOR","41.816248","-88.037849","WGS84","Louise & Lee","based on collectors description","GeoLocate","199"
"0001827MOR","40.777537","-87.162413","","Fertig","","","100"
"0001868MOR","41.81668","-88.046604","WGS84","Louise & Lee","based on collectors description","GeoLocate","127"
"0001869MOR","41.813729","-88.079187","WGS84","Louise & Lee","based on collectors description","GeoLocate","106"
"0001870MOR","41.813545","-88.071151","WGS84","Louise & Lee","based on collectors description","GeoLocate","94"
"0001883MOR","41.787185","-88.024303","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0001884MOR","41.824908","-88.053481","WGS84","Louise & Lee","based on collectors description","GeoLocate","148"
"0001890MOR","40.777537","-87.162413","","Fertig","","","100"
"0001917MOR","41.956863","-88.129175","WGS84","Louise & Lee","based on collectors description","GeoLocate","285"
"0001967MOR","41.55015","-87.07472","WGS84","","","",""
"0001968MOR","41.67211","-86.35069","WGS84","","","",""
"0002013MOR","41.819812","-88.060262","WGS84","Louise & Lee","based on collectors description","GeoLocate","202"
"0002016MOR","41.818239","-88.06704","WGS84","Louise & Lee","based on collectors description","GeoLocate","95"
"0002017MOR","41.816848","-88.046787","WGS84","Louise & Lee","based on collectors description","GeoLocate","150"
"0002018MOR","41.753186","-87.973839","WGS84","Louise & Lee","based on collectors description","GeoLocate","147"
"0002021MOR","41.818841","-88.064352","WGS84","Louise & Lee","based on collectors description","GeoLocate","109"
"0002025MOR","41.811603","-88.071205","WGS84","Louise & Lee","based on collectors description","GeoLocate","197"
"0002035MOR","41.818023","-88.065079","WGS84","Louise & Lee","based on collectors description","GeoLocate","155"
"0002038MOR","41.812027","-88.069005","WGS84","Louise & Lee","based on collectors description","GeoLocate","106"
"0002060MOR","41.813298","-88.081419","WGS84","Louise & Lee","based on collectors description","GeoLocate","203"
"0002061MOR","41.814417","-88.039319","WGS84","Louise & Lee","based on collectors description","GeoLocate","212"
