"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000012MOR","41.812626|bannon-hipp|NA","-88.091772|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","153|bannon-hipp|NA"
"0000013MOR","41.814631|bannon-hipp|NA","-88.091247|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000020MOR","41.791001|bannon-hipp|NA","-88.176631|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","603|bannon-hipp|NA"
"0000038MOR","41.819409|bannon-hipp|NA","-88.041167|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1000|bannon-hipp|NA"
"0000039MOR","41.816049|bannon-hipp|NA","-88.044415|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","497|bannon-hipp|NA"
"0000048MOR","41.88385|bannon-hipp|NA","-88.037229|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0000104MOR","41.698936|bannon-hipp|NA","-87.959308|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","191|bannon-hipp|NA"
"0000109MOR","41.816998|bannon-hipp|NA","-88.04507|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","505|bannon-hipp|NA"
"0000110MOR","41.821518|bannon-hipp|NA","-88.076391|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","80|bannon-hipp|NA"
"0000201MOR","41.153508|Fertig, Walter|NA","-86.944238|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","400|Fertig, Walter|NA"
"0000209MOR","41.522576|Fertig, Walter|NA","-87.456832|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","100|Fertig, Walter|NA"
"0000211MOR","41.73475|Fertig, Walter|NA","-86.85512|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","300|Fertig, Walter|NA"
"0000213MOR","41.088789|Fertig, Walter|NA","-87.426158|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","200|Fertig, Walter|NA"
"0000215MOR","41.6427|Fertig, Walter|NA","-87.087748|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","GeoLocate|Fertig, Walter|NA","800|Fertig, Walter|NA"
"0000217MOR","41.236019|Fertig, Walter|NA","-86.66816|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","500|Fertig, Walter|NA"
"0000222MOR","41.818617|bannon-hipp|NA","-88.057998|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000258MOR","41.825369|bannon-hipp|NA","-88.220412|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","496|bannon-hipp|NA"
"0000270MOR","41.818085|bannon-hipp|NA","-88.059232|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000278MOR","41.814865|bannon-hipp|NA","-88.037699|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","212|bannon-hipp|NA"
"0000317MOR","41.969304|bannon-hipp|NA","-88.234211|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","211|bannon-hipp|NA"
"0000342MOR","41.707858|bannon-hipp|NA","-88.143248|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","216|bannon-hipp|NA"
"0000348MOR","41.790665|bannon-hipp|NA","-88.024046|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","197|bannon-hipp|NA"
"0000350MOR","41.787836|bannon-hipp|NA","-88.223088|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000387MOR","41.816944|bannon-hipp|NA","-88.053535|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","208|bannon-hipp|NA"
"0000388MOR","41.812738|bannon-hipp|NA","-88.047698|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000399MOR","41.69614|bannon-hipp|NA","-87.97059|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","103|bannon-hipp|NA"
"0000423MOR","41.816198|bannon-hipp|NA","-88.065347|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000462MOR","41.817078|bannon-hipp|NA","-88.235878|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0000471MOR","41.815273|bannon-hipp|NA","-88.085088|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","151|bannon-hipp|NA"
"0000472MOR","41.815217|bannon-hipp|NA","-88.07982|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","202|bannon-hipp|NA"
"0000513MOR","41.814833|bannon-hipp|NA","-88.080786|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0000521MOR","41.815334|bannon-hipp|NA","-88.064554|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","194|bannon-hipp|NA"
"0000553MOR","41.813298|bannon-hipp|NA","-88.090871|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0000638MOR","41.934835|bannon-hipp|NA","-87.957323|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0000648MOR","41.818863|bannon-hipp|NA","-88.050299|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","204|bannon-hipp|NA"
"0000669MOR","41.887234|bannon-hipp|NA","-88.217256|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","207|bannon-hipp|NA"
"0000675MOR","41.891684|bannon-hipp|NA","-88.043392|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","197|bannon-hipp|NA"
"0000680MOR","41.735475|bannon-hipp|NA","-88.076837|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","207|bannon-hipp|NA"
"0000682MOR","41.77901|bannon-hipp|NA","-88.13564|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","99|bannon-hipp|NA"
"0000688MOR","41.712431|bannon-hipp|NA","-87.927157|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1009|bannon-hipp|NA"
"0000690MOR","41.712431|bannon-hipp|NA","-87.927157|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","215|bannon-hipp|NA"
"0000704MOR","41.816401|bannon-hipp|NA","-88.037913|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0000707MOR","41.813458|bannon-hipp|NA","-88.079584|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000708MOR","41.819423|bannon-hipp|NA","-88.084326|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","213|bannon-hipp|NA"
"0000711MOR","41.817317|bannon-hipp|NA","-88.065412|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0000743MOR","41.819215|bannon-hipp|NA","-88.070872|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","157|bannon-hipp|NA"
"0000748MOR","41.819983|bannon-hipp|NA","-88.046411|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0000774MOR","41.798368|bannon-hipp|NA","-88.064769|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","196|bannon-hipp|NA"
"0000782MOR","41.816201|bannon-hipp|NA","-88.085876|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","149|bannon-hipp|NA"
"0000783MOR","41.81333|bannon-hipp|NA","-88.091111|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","208|bannon-hipp|NA"
"0000813MOR","41.812179|bannon-hipp|NA","-88.069188|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","96|bannon-hipp|NA"
"0000835MOR","41.819839|bannon-hipp|NA","-88.083597|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","149|bannon-hipp|NA"
"0000846MOR","41.820433|bannon-hipp|NA","-88.050917|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","204|bannon-hipp|NA"
"0000855MOR","41.82075|bannon-hipp|NA","-88.083532|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","194|bannon-hipp|NA"
"0000857MOR","41.821358|bannon-hipp|NA","-88.080211|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","151|bannon-hipp|NA"
"0000866MOR","41.815265|bannon-hipp|NA","-88.083168|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","101|bannon-hipp|NA"
"0000867MOR","41.817712|bannon-hipp|NA","-88.084412|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","207|bannon-hipp|NA"
"0000868MOR","41.814482|bannon-hipp|NA","-88.041905|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","193|bannon-hipp|NA"
"0000872MOR","41.754714|bannon-hipp|NA","-88.071313|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","197|bannon-hipp|NA"
"0000893MOR","41.812499|bannon-hipp|NA","-88.072825|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","125|bannon-hipp|NA"
"0000898MOR","41.814578|bannon-hipp|NA","-88.079842|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","208|bannon-hipp|NA"
"0000900MOR","41.8122|bannon-hipp|NA","-88.071334|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","193|bannon-hipp|NA"
"0000916MOR","41.816625|bannon-hipp|NA","-88.076559|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","207|bannon-hipp|NA"
"0000928MOR","41.824023|bannon-hipp|NA","-88.104531|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","210|bannon-hipp|NA"
"0000929MOR","41.812467|bannon-hipp|NA","-88.072353|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","150|bannon-hipp|NA"
"0000932MOR","41.943181|bannon-hipp|NA","-87.976107|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","201|bannon-hipp|NA"
"0000933MOR","41.966656|bannon-hipp|NA","-88.250888|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","215|bannon-hipp|NA"
"0000963MOR","41.744545|bannon-hipp|NA","-87.985749|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","59|bannon-hipp|NA"
"0000966MOR","41.81269|bannon-hipp|NA","-88.070143|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","209|bannon-hipp|NA"
"0000993MOR","41.816337|bannon-hipp|NA","-88.037441|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","205|bannon-hipp|NA"
"0000997MOR","41.813272|bannon-hipp|NA","-88.091558|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","204|bannon-hipp|NA"
"0000998MOR","41.89109|bannon-hipp|NA","-88.23134|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0001000MOR","41.816038|bannon-hipp|NA","-88.037345|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","211|bannon-hipp|NA"
"0001014MOR","41.812802|bannon-hipp|NA","-88.072911|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","30|bannon-hipp|NA"
"0001015MOR","41.812786|bannon-hipp|NA","-88.072691|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","50|bannon-hipp|NA"
"0001025MOR","41.818085|bannon-hipp|NA","-88.059232|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","210|bannon-hipp|NA"
"0001035MOR","41.816465|bannon-hipp|NA","-88.046196|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","201|bannon-hipp|NA"
"0001036MOR","41.812083|bannon-hipp|NA","-88.072664|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","98|bannon-hipp|NA"
"0001037MOR","41.807991|bannon-hipp|NA","-88.022028|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","503|bannon-hipp|NA"
"0001070MOR","41.818085|bannon-hipp|NA","-88.059232|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","201|bannon-hipp|NA"
"0001079MOR","41.816793|bannon-hipp|NA","-88.064789|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","151|bannon-hipp|NA"
"0001090MOR","41.813042|bannon-hipp|NA","-88.053749|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","299|bannon-hipp|NA"
"0001107MOR","41.892171|bannon-hipp|NA","-87.964629|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","197|bannon-hipp|NA"
"0001118MOR","41.818757|bannon-hipp|NA","-88.053803|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","203|bannon-hipp|NA"
"0001119MOR","41.815558|bannon-hipp|NA","-88.061893|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","203|bannon-hipp|NA"
"0001175MOR","41.774303|bannon-hipp|NA","-88.143429|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","219|bannon-hipp|NA"
"0001209MOR","41.702239|bannon-hipp|NA","-87.979551|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","198|bannon-hipp|NA"
"0001215MOR","41.81469|bannon-hipp|NA","-88.088425|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","99|bannon-hipp|NA"
"0001258MOR","41.816438|bannon-hipp|NA","-88.064167|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0001279MOR","41.816145|bannon-hipp|NA","-88.083478|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","98|bannon-hipp|NA"
"0001283MOR","41.817317|bannon-hipp|NA","-88.065755|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1996|bannon-hipp|NA"
"0001284MOR","41.817381|bannon-hipp|NA","-88.046787|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","194|bannon-hipp|NA"
"0001286MOR","41.816717|bannon-hipp|NA","-88.045424|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","148|bannon-hipp|NA"
"0001344MOR","41.817541|bannon-hipp|NA","-88.06303|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0001353MOR","41.819076|bannon-hipp|NA","-88.053996|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","202|bannon-hipp|NA"
"0001365MOR","41.929641|bannon-hipp|NA","-88.181878|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","605|bannon-hipp|NA"
"0001381MOR","41.776478|bannon-hipp|NA","-88.148322|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","51|bannon-hipp|NA"
"0001385MOR","41.841768|bannon-hipp|NA","-88.065547|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","201|bannon-hipp|NA"
"0001386MOR","41.773634|bannon-hipp|NA","-88.143429|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","200|bannon-hipp|NA"
"0001387MOR","41.749534|bannon-hipp|NA","-88.129377|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","104|bannon-hipp|NA"
"0001388MOR","40.777537|Fertig, Walter|NA","-87.162413|Fertig, Walter|NA","","","","","100|Fertig, Walter|NA"
"0001410MOR","41.817541|bannon-hipp|NA","-88.06303|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0001411MOR","41.816838|bannon-hipp|NA","-88.058717|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","201|bannon-hipp|NA"
"0001412MOR","41.813794|bannon-hipp|NA","-88.079198|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","152|bannon-hipp|NA"
"0001413MOR","41.816769|bannon-hipp|NA","-88.041561|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","104|bannon-hipp|NA"
"0001435MOR","41.757917|bannon-hipp|NA","-88.140296|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","410|bannon-hipp|NA"
"0001438MOR","41.81453|bannon-hipp|NA","-88.03787|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","101|bannon-hipp|NA"
"0001439MOR","41.817541|bannon-hipp|NA","-88.06303|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","195|bannon-hipp|NA"
"0001456MOR","41.815377|bannon-hipp|NA","-88.037725|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","199|bannon-hipp|NA"
"0001494MOR","41.814578|bannon-hipp|NA","-88.046067|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","202|bannon-hipp|NA"
"0001524MOR","41.896883|bannon-hipp|NA","-87.977605|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","49|bannon-hipp|NA"
"0001527MOR","41.821509|bannon-hipp|NA","-88.077137|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","60|bannon-hipp|NA"
