"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000012MOR","41.812626|Bannon, Lee|NA","-88.091772|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","153|Bannon, Lee|NA"
"0000013MOR","41.814631|Bannon, Lee|NA","-88.091247|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","195|Bannon, Lee|NA"
"0000020MOR","41.791001|Bannon, Lee|NA","-88.176631|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","603|Bannon, Lee|NA"
"0000038MOR","41.819409|Bannon, Lee|NA","-88.041167|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","1000|Bannon, Lee|NA"
"0000039MOR","41.816049|Bannon, Lee|NA","-88.044415|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","497|Bannon, Lee|NA"
"0000048MOR","41.88385|Bannon, Lee|NA","-88.037229|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","198|Bannon, Lee|NA"
"0000104MOR","41.698936|Bannon, Lee|NA","-87.959308|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","191|Bannon, Lee|NA"
"0000109MOR","41.816998|Bannon, Lee|NA","-88.04507|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","505|Bannon, Lee|NA"
"0000110MOR","41.821518|Bannon, Lee|NA","-88.076391|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","80|Bannon, Lee|NA"
"0000201MOR","41.153508|Fertig, Walter|NA","-86.944238|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","400|Fertig, Walter|NA"
"0000209MOR","41.522576|Fertig, Walter|NA","-87.456832|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","100|Fertig, Walter|NA"
"0000211MOR","41.73475|Fertig, Walter|NA","-86.85512|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","300|Fertig, Walter|NA"
"0000213MOR","41.088789|Fertig, Walter|NA","-87.426158|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","200|Fertig, Walter|NA"
"0000215MOR","41.6427|Fertig, Walter|NA","-87.087748|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","GeoLocate|Fertig, Walter|NA","800|Fertig, Walter|NA"
"0000217MOR","41.236019|Fertig, Walter|NA","-86.66816|Fertig, Walter|NA","WGS84|Fertig, Walter|NA","Fertig|Fertig, Walter|NA","","","500|Fertig, Walter|NA"
"0000222MOR","41.818617|Bannon, Lee|NA","-88.057998|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","205|Bannon, Lee|NA"
"0000258MOR","41.825369|Bannon, Lee|NA","-88.220412|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","496|Bannon, Lee|NA"
