"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0000270MOR","41.818085|Bannon, Lee|NA","-88.059232|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","195|Bannon, Lee|NA"
"0000278MOR","41.814865|Bannon, Lee|NA","-88.037699|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","212|Bannon, Lee|NA"
"0000317MOR","41.969304|Bannon, Lee|NA","-88.234211|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","211|Bannon, Lee|NA"
"0000342MOR","41.707858|Bannon, Lee|NA","-88.143248|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","216|Bannon, Lee|NA"
"0000348MOR","41.790665|Bannon, Lee|NA","-88.024046|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","197|Bannon, Lee|NA"
"0000350MOR","41.787836|Bannon, Lee|NA","-88.223088|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","205|Bannon, Lee|NA"
"0000387MOR","41.816944|Bannon, Lee|NA","-88.053535|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","208|Bannon, Lee|NA"
"0000388MOR","41.812738|Bannon, Lee|NA","-88.047698|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","205|Bannon, Lee|NA"
"0000399MOR","41.69614|Bannon, Lee|NA","-87.97059|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","103|Bannon, Lee|NA"
"0000423MOR","41.816198|Bannon, Lee|NA","-88.065347|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","195|Bannon, Lee|NA"
"0000462MOR","41.817078|Bannon, Lee|NA","-88.235878|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","200|Bannon, Lee|NA"
"0000471MOR","41.815273|Bannon, Lee|NA","-88.085088|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","151|Bannon, Lee|NA"
"0000472MOR","41.815217|Bannon, Lee|NA","-88.07982|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","202|Bannon, Lee|NA"
"0000513MOR","41.814833|Bannon, Lee|NA","-88.080786|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","195|Bannon, Lee|NA"
"0000521MOR","41.815334|Bannon, Lee|NA","-88.064554|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","194|Bannon, Lee|NA"
"0000553MOR","41.813298|Bannon, Lee|NA","-88.090871|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","200|Bannon, Lee|NA"
"0000638MOR","41.934835|Bannon, Lee|NA","-87.957323|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","198|Bannon, Lee|NA"
"0000648MOR","41.818863|Bannon, Lee|NA","-88.050299|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","204|Bannon, Lee|NA"
"0000669MOR","41.887234|Bannon, Lee|NA","-88.217256|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","207|Bannon, Lee|NA"
"0000675MOR","41.891684|Bannon, Lee|NA","-88.043392|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","197|Bannon, Lee|NA"
"0000680MOR","41.735475|Bannon, Lee|NA","-88.076837|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","207|Bannon, Lee|NA"
"0000682MOR","41.77901|Bannon, Lee|NA","-88.13564|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","99|Bannon, Lee|NA"
"0000688MOR","41.712431|Bannon, Lee|NA","-87.927157|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","1009|Bannon, Lee|NA"
"0000690MOR","41.712431|Bannon, Lee|NA","-87.927157|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","215|Bannon, Lee|NA"
"0000704MOR","41.816401|Bannon, Lee|NA","-88.037913|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","200|Bannon, Lee|NA"
"0000707MOR","41.813458|Bannon, Lee|NA","-88.079584|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","205|Bannon, Lee|NA"
"0000708MOR","41.819423|Bannon, Lee|NA","-88.084326|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","213|Bannon, Lee|NA"
"0000711MOR","41.817317|Bannon, Lee|NA","-88.065412|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","198|Bannon, Lee|NA"
"0000743MOR","41.819215|Bannon, Lee|NA","-88.070872|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","157|Bannon, Lee|NA"
"0000748MOR","41.819983|Bannon, Lee|NA","-88.046411|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","198|Bannon, Lee|NA"
"0000774MOR","41.798368|Bannon, Lee|NA","-88.064769|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","196|Bannon, Lee|NA"
"0000782MOR","41.816201|Bannon, Lee|NA","-88.085876|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","149|Bannon, Lee|NA"
"0000783MOR","41.81333|Bannon, Lee|NA","-88.091111|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","208|Bannon, Lee|NA"
"0000813MOR","41.812179|Bannon, Lee|NA","-88.069188|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","96|Bannon, Lee|NA"
"0000835MOR","41.819839|Bannon, Lee|NA","-88.083597|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","149|Bannon, Lee|NA"
"0000846MOR","41.820433|Bannon, Lee|NA","-88.050917|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","204|Bannon, Lee|NA"
"0000855MOR","41.82075|Bannon, Lee|NA","-88.083532|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","194|Bannon, Lee|NA"
"0000857MOR","41.821358|Bannon, Lee|NA","-88.080211|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","151|Bannon, Lee|NA"
"0000866MOR","41.815265|Bannon, Lee|NA","-88.083168|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","101|Bannon, Lee|NA"
"0000867MOR","41.817712|Bannon, Lee|NA","-88.084412|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","207|Bannon, Lee|NA"
"0000868MOR","41.814482|Bannon, Lee|NA","-88.041905|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","193|Bannon, Lee|NA"
"0000872MOR","41.754714|Bannon, Lee|NA","-88.071313|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","197|Bannon, Lee|NA"
"0000893MOR","41.812499|Bannon, Lee|NA","-88.072825|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","125|Bannon, Lee|NA"
"0000898MOR","41.814578|Bannon, Lee|NA","-88.079842|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","208|Bannon, Lee|NA"
"0000900MOR","41.8122|Bannon, Lee|NA","-88.071334|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","193|Bannon, Lee|NA"
"0000916MOR","41.816625|Bannon, Lee|NA","-88.076559|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","207|Bannon, Lee|NA"
"0000928MOR","41.824023|Bannon, Lee|NA","-88.104531|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","210|Bannon, Lee|NA"
"0000929MOR","41.812467|Bannon, Lee|NA","-88.072353|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","150|Bannon, Lee|NA"
"0000932MOR","41.943181|Bannon, Lee|NA","-87.976107|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","201|Bannon, Lee|NA"
"0000933MOR","41.966656|Bannon, Lee|NA","-88.250888|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","215|Bannon, Lee|NA"
"0000963MOR","41.744545|Bannon, Lee|NA","-87.985749|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","59|Bannon, Lee|NA"
"0000966MOR","41.81269|Bannon, Lee|NA","-88.070143|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","209|Bannon, Lee|NA"
"0000993MOR","41.816337|Bannon, Lee|NA","-88.037441|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","205|Bannon, Lee|NA"
"0000997MOR","41.813272|Bannon, Lee|NA","-88.091558|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","204|Bannon, Lee|NA"
"0000998MOR","41.89109|Bannon, Lee|NA","-88.23134|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","198|Bannon, Lee|NA"
"0001000MOR","41.816038|Bannon, Lee|NA","-88.037345|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","211|Bannon, Lee|NA"
"0001014MOR","41.812802|Bannon, Lee|NA","-88.072911|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","30|Bannon, Lee|NA"
"0001015MOR","41.812786|Bannon, Lee|NA","-88.072691|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","50|Bannon, Lee|NA"
"0001025MOR","41.818085|Bannon, Lee|NA","-88.059232|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","210|Bannon, Lee|NA"
"0001035MOR","41.816465|Bannon, Lee|NA","-88.046196|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","201|Bannon, Lee|NA"
"0001036MOR","41.812083|Bannon, Lee|NA","-88.072664|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","98|Bannon, Lee|NA"
"0001037MOR","41.807991|Bannon, Lee|NA","-88.022028|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","503|Bannon, Lee|NA"
"0001070MOR","41.818085|Bannon, Lee|NA","-88.059232|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","201|Bannon, Lee|NA"
"0001079MOR","41.816793|Bannon, Lee|NA","-88.064789|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","151|Bannon, Lee|NA"
"0001090MOR","41.813042|Bannon, Lee|NA","-88.053749|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","299|Bannon, Lee|NA"
"0001107MOR","41.892171|Bannon, Lee|NA","-87.964629|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","197|Bannon, Lee|NA"
"0001118MOR","41.818757|Bannon, Lee|NA","-88.053803|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","203|Bannon, Lee|NA"
"0001119MOR","41.815558|Bannon, Lee|NA","-88.061893|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","203|Bannon, Lee|NA"
"0001175MOR","41.774303|Bannon, Lee|NA","-88.143429|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","219|Bannon, Lee|NA"
"0001209MOR","41.702239|Bannon, Lee|NA","-87.979551|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","198|Bannon, Lee|NA"
"0001215MOR","41.81469|Bannon, Lee|NA","-88.088425|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","99|Bannon, Lee|NA"
"0001258MOR","41.816438|Bannon, Lee|NA","-88.064167|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","200|Bannon, Lee|NA"
"0001279MOR","41.816145|Bannon, Lee|NA","-88.083478|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","98|Bannon, Lee|NA"
"0001283MOR","41.817317|Bannon, Lee|NA","-88.065755|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","1996|Bannon, Lee|NA"
"0001284MOR","41.817381|Bannon, Lee|NA","-88.046787|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","194|Bannon, Lee|NA"
"0001286MOR","41.816717|Bannon, Lee|NA","-88.045424|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","148|Bannon, Lee|NA"
"0001344MOR","41.817541|Bannon, Lee|NA","-88.06303|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","195|Bannon, Lee|NA"
"0001353MOR","41.819076|Bannon, Lee|NA","-88.053996|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","202|Bannon, Lee|NA"
"0001365MOR","41.929641|Bannon, Lee|NA","-88.181878|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","605|Bannon, Lee|NA"
"0001381MOR","41.776478|Bannon, Lee|NA","-88.148322|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","51|Bannon, Lee|NA"
"0001385MOR","41.841768|Bannon, Lee|NA","-88.065547|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","201|Bannon, Lee|NA"
"0001386MOR","41.773634|Bannon, Lee|NA","-88.143429|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","200|Bannon, Lee|NA"
"0001387MOR","41.749534|Bannon, Lee|NA","-88.129377|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on Collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","104|Bannon, Lee|NA"
"0001388MOR","40.777537|Fertig, Walter|NA","-87.162413|Fertig, Walter|NA","","","","","100|Fertig, Walter|NA"
"0001410MOR","41.817541|Bannon, Lee|NA","-88.06303|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","195|Bannon, Lee|NA"
"0001411MOR","41.816838|Bannon, Lee|NA","-88.058717|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","201|Bannon, Lee|NA"
"0001412MOR","41.813794|Bannon, Lee|NA","-88.079198|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","152|Bannon, Lee|NA"
"0001413MOR","41.816769|Bannon, Lee|NA","-88.041561|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","104|Bannon, Lee|NA"
"0001435MOR","41.757917|Bannon, Lee|NA","-88.140296|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","410|Bannon, Lee|NA"
